name,config,kpi
concat,"PPOConfig: {'scenario_name': 'balance', 'strategy': <EmbeddingStrategy.CONCAT: 'concat'>, 'n_agents': 5, 'decentralized_execution': True, 'frames_per_batch': 6000, 'n_iters': 6, 'num_epochs': 10, 'minibatch_size': 400, 'lr': 0.0003, 'max_grad_norm': 1.0, 'clip_epsilon': 0.2, 'gamma': 0.99, 'lmbda': 0.9, 'entropy_eps': 0.0001, 'max_steps': 200, 'embedding_depth': 2, 'embedding_num_cells': None, 'hidden_layer_width': 48, 'use_encoder_mlp': True, 'attention_heads': 2, 'mlp_core_depth': 2, 'mlp_core_num_cells': 256, 'pooling_method': 'mean', 'embedding_mlp_actor': None, 'embedding_mlp_critic': None, 'core_mlp_actor': None, 'core_mlp_critic': None, 'profile': True, 'profiler': False}","{'inference_time': 0.0005135308558018363, 'inference_memory_usage': 0.0, 'loss': [3.5121983655293785, 3.6575458749135334, 3.2665902900695802, 3.203826128641764, 3.03203959941864, 2.7723546552658083], 'mean_rewards': [-11.576496124267578, -11.979803085327148, -10.524895668029785, -11.929956436157227, -10.729238510131836, -9.115731239318848], 'training_memory_usage': 5412.405317306519, 'training_time': -52.62283706665039}"
concat,"PPOConfig: {'scenario_name': 'balance', 'strategy': <EmbeddingStrategy.CONCAT: 'concat'>, 'n_agents': 5, 'decentralized_execution': True, 'frames_per_batch': 6000, 'n_iters': 6, 'num_epochs': 10, 'minibatch_size': 400, 'lr': 0.0003, 'max_grad_norm': 1.0, 'clip_epsilon': 0.2, 'gamma': 0.99, 'lmbda': 0.9, 'entropy_eps': 0.0001, 'max_steps': 200, 'embedding_depth': 2, 'embedding_num_cells': None, 'hidden_layer_width': 48, 'use_encoder_mlp': True, 'attention_heads': 2, 'mlp_core_depth': 2, 'mlp_core_num_cells': 256, 'pooling_method': 'mean', 'embedding_mlp_actor': None, 'embedding_mlp_critic': None, 'core_mlp_actor': None, 'core_mlp_critic': None, 'profile': True, 'profiler': False}","{'inference_time': 0.0005994034771943213, 'inference_memory_usage': 0.0, 'loss': [3.54265873114268, 3.215760048230489, 3.1750457731882733, 2.630717651049296, 2.6707634576161703, 2.309978798230489], 'mean_rewards': [-11.906268119812012, -9.463005065917969, -8.761719703674316, -5.227547645568848, -6.107097148895264, -0.6881942749023438], 'training_memory_usage': 5412.405317306519, 'training_time': -50.713879108428955}"
concat,"PPOConfig: {'scenario_name': 'balance', 'strategy': <EmbeddingStrategy.CONCAT: 'concat'>, 'n_agents': 5, 'decentralized_execution': True, 'frames_per_batch': 6000, 'n_iters': 6, 'num_epochs': 10, 'minibatch_size': 400, 'lr': 0.0003, 'max_grad_norm': 1.0, 'clip_epsilon': 0.2, 'gamma': 0.99, 'lmbda': 0.9, 'entropy_eps': 0.0001, 'max_steps': 200, 'embedding_depth': 2, 'embedding_num_cells': None, 'hidden_layer_width': 48, 'use_encoder_mlp': True, 'attention_heads': 2, 'mlp_core_depth': 2, 'mlp_core_num_cells': 256, 'pooling_method': 'mean', 'embedding_mlp_actor': None, 'embedding_mlp_critic': None, 'core_mlp_actor': None, 'core_mlp_critic': None, 'profile': True, 'profiler': False}","{'inference_time': 0.0005205492278439316, 'inference_memory_usage': 0.0, 'loss': [3.085850861867269, 2.940559876759847, 2.8472946723302206, 2.5326019859313966, 2.5012550735473633, 2.2308447329203287], 'mean_rewards': [-8.383583068847656, -7.728683948516846, -7.847840309143066, -4.428846836090088, -4.654689311981201, -0.548828125], 'training_memory_usage': 5412.405317306519, 'training_time': -53.66680717468262}"
concat,"PPOConfig: {'scenario_name': 'balance', 'strategy': <EmbeddingStrategy.CONCAT: 'concat'>, 'n_agents': 5, 'decentralized_execution': True, 'frames_per_batch': 6000, 'n_iters': 6, 'num_epochs': 10, 'minibatch_size': 400, 'lr': 0.0003, 'max_grad_norm': 1.0, 'clip_epsilon': 0.2, 'gamma': 0.99, 'lmbda': 0.9, 'entropy_eps': 0.0001, 'max_steps': 200, 'embedding_depth': 2, 'embedding_num_cells': None, 'hidden_layer_width': 48, 'use_encoder_mlp': True, 'attention_heads': 2, 'mlp_core_depth': 2, 'mlp_core_num_cells': 256, 'pooling_method': 'mean', 'embedding_mlp_actor': None, 'embedding_mlp_critic': None, 'core_mlp_actor': None, 'core_mlp_critic': None, 'profile': True, 'profiler': False}","{'inference_time': 0.0005206414802589608, 'inference_memory_usage': 0.0, 'loss': [3.2686691284179688, 3.3555085627237955, 3.2227615404129026, 3.101901563008626, 2.853890924453735, 2.8177859131495158], 'mean_rewards': [-10.3102445602417, -10.546485900878906, -9.896754264831543, -9.239950180053711, -6.2303924560546875, -6.830102443695068], 'training_memory_usage': 5412.405317306519, 'training_time': -53.5162889957428}"
mlp_local,"PPOConfig: {'scenario_name': 'balance', 'strategy': <EmbeddingStrategy.MLP_LOCAL: 'mlp_local'>, 'n_agents': 5, 'decentralized_execution': True, 'frames_per_batch': 6000, 'n_iters': 6, 'num_epochs': 10, 'minibatch_size': 400, 'lr': 0.0003, 'max_grad_norm': 1.0, 'clip_epsilon': 0.2, 'gamma': 0.99, 'lmbda': 0.9, 'entropy_eps': 0.0001, 'max_steps': 200, 'embedding_depth': 2, 'embedding_num_cells': None, 'hidden_layer_width': 48, 'use_encoder_mlp': True, 'attention_heads': 2, 'mlp_core_depth': 2, 'mlp_core_num_cells': 256, 'pooling_method': 'mean', 'embedding_mlp_actor': None, 'embedding_mlp_critic': None, 'core_mlp_actor': None, 'core_mlp_critic': None, 'profile': True, 'profiler': False}","{'inference_time': 0.0005137956322138034, 'inference_memory_usage': 0.0, 'loss': [3.5734320958455403, 3.7114092922210693, 3.5041513729095457, 3.2921595017115277, 3.0395329507191975, 2.8456166140238444], 'mean_rewards': [-11.733927726745605, -12.121058464050293, -11.973773002624512, -11.912898063659668, -12.023590087890625, -11.695940017700195], 'training_memory_usage': 6183.386354446411, 'training_time': -42.04839873313904}"
mlp_local,"PPOConfig: {'scenario_name': 'balance', 'strategy': <EmbeddingStrategy.MLP_LOCAL: 'mlp_local'>, 'n_agents': 5, 'decentralized_execution': True, 'frames_per_batch': 6000, 'n_iters': 6, 'num_epochs': 10, 'minibatch_size': 400, 'lr': 0.0003, 'max_grad_norm': 1.0, 'clip_epsilon': 0.2, 'gamma': 0.99, 'lmbda': 0.9, 'entropy_eps': 0.0001, 'max_steps': 200, 'embedding_depth': 2, 'embedding_num_cells': None, 'hidden_layer_width': 48, 'use_encoder_mlp': True, 'attention_heads': 2, 'mlp_core_depth': 2, 'mlp_core_num_cells': 256, 'pooling_method': 'mean', 'embedding_mlp_actor': None, 'embedding_mlp_critic': None, 'core_mlp_actor': None, 'core_mlp_critic': None, 'profile': True, 'profiler': False}","{'inference_time': 0.0005230723912991471, 'inference_memory_usage': 0.0, 'loss': [3.5014471038182577, 3.4900611289342245, 3.249626461664836, 3.074697755177816, 2.710879980723063, 2.7156043831507364], 'mean_rewards': [-10.448472023010254, -10.159887313842773, -8.882811546325684, -7.260744571685791, -5.2945051193237305, -3.061819076538086], 'training_memory_usage': 6183.386354446411, 'training_time': -43.78124690055847}"
mlp_local,"PPOConfig: {'scenario_name': 'balance', 'strategy': <EmbeddingStrategy.MLP_LOCAL: 'mlp_local'>, 'n_agents': 5, 'decentralized_execution': True, 'frames_per_batch': 6000, 'n_iters': 6, 'num_epochs': 10, 'minibatch_size': 400, 'lr': 0.0003, 'max_grad_norm': 1.0, 'clip_epsilon': 0.2, 'gamma': 0.99, 'lmbda': 0.9, 'entropy_eps': 0.0001, 'max_steps': 200, 'embedding_depth': 2, 'embedding_num_cells': None, 'hidden_layer_width': 48, 'use_encoder_mlp': True, 'attention_heads': 2, 'mlp_core_depth': 2, 'mlp_core_num_cells': 256, 'pooling_method': 'mean', 'embedding_mlp_actor': None, 'embedding_mlp_critic': None, 'core_mlp_actor': None, 'core_mlp_critic': None, 'profile': True, 'profiler': False}","{'inference_time': 0.0005224817362262975, 'inference_memory_usage': 0.0, 'loss': [3.0703601376215617, 3.3112734444936116, 3.2305747159322102, 3.3211548550923666, 2.920390871365865, 2.731369063059489], 'mean_rewards': [-7.875311374664307, -11.012435913085938, -10.007896423339844, -10.755213737487793, -10.033994674682617, -7.914875030517578], 'training_memory_usage': 6183.386354446411, 'training_time': -38.487789154052734}"
mlp_local,"PPOConfig: {'scenario_name': 'balance', 'strategy': <EmbeddingStrategy.MLP_LOCAL: 'mlp_local'>, 'n_agents': 5, 'decentralized_execution': True, 'frames_per_batch': 6000, 'n_iters': 6, 'num_epochs': 10, 'minibatch_size': 400, 'lr': 0.0003, 'max_grad_norm': 1.0, 'clip_epsilon': 0.2, 'gamma': 0.99, 'lmbda': 0.9, 'entropy_eps': 0.0001, 'max_steps': 200, 'embedding_depth': 2, 'embedding_num_cells': None, 'hidden_layer_width': 48, 'use_encoder_mlp': True, 'attention_heads': 2, 'mlp_core_depth': 2, 'mlp_core_num_cells': 256, 'pooling_method': 'mean', 'embedding_mlp_actor': None, 'embedding_mlp_critic': None, 'core_mlp_actor': None, 'core_mlp_critic': None, 'profile': True, 'profiler': False}","{'inference_time': 0.0005226494678899871, 'inference_memory_usage': 0.0, 'loss': [3.362308282852173, 3.603149003982544, 3.2683557939529417, 2.9330169328053795, 2.71738791624705, 2.881930425961812], 'mean_rewards': [-10.943438529968262, -11.341224670410156, -11.12774658203125, -8.809085845947266, -7.77707576751709, -8.260506629943848], 'training_memory_usage': 6183.386354446411, 'training_time': -41.04132676124573}"
graph_sage,"PPOConfig: {'scenario_name': 'balance', 'strategy': <EmbeddingStrategy.GRAPH_SAGE: 'graph_sage'>, 'n_agents': 5, 'decentralized_execution': True, 'frames_per_batch': 6000, 'n_iters': 6, 'num_epochs': 10, 'minibatch_size': 400, 'lr': 0.0003, 'max_grad_norm': 1.0, 'clip_epsilon': 0.2, 'gamma': 0.99, 'lmbda': 0.9, 'entropy_eps': 0.0001, 'max_steps': 200, 'embedding_depth': 2, 'embedding_num_cells': None, 'hidden_layer_width': 48, 'use_encoder_mlp': True, 'attention_heads': 2, 'mlp_core_depth': 2, 'mlp_core_num_cells': 256, 'pooling_method': 'mean', 'embedding_mlp_actor': None, 'embedding_mlp_critic': None, 'core_mlp_actor': None, 'core_mlp_critic': None, 'profile': True, 'profiler': False}","{'inference_time': 0.0005156215111813952, 'inference_memory_usage': 0.0, 'loss': [3.825484124819438, 3.7295479281743367, 3.589488943417867, 3.3157027705510456, 2.8531272904078167, 2.7852698961893716], 'mean_rewards': [-12.406414031982422, -11.78395938873291, -12.004083633422852, -10.788668632507324, -8.907407760620117, -8.502830505371094], 'training_memory_usage': 4562.361108779907, 'training_time': -49.356834173202515}"
graph_sage,"PPOConfig: {'scenario_name': 'balance', 'strategy': <EmbeddingStrategy.GRAPH_SAGE: 'graph_sage'>, 'n_agents': 5, 'decentralized_execution': True, 'frames_per_batch': 6000, 'n_iters': 6, 'num_epochs': 10, 'minibatch_size': 400, 'lr': 0.0003, 'max_grad_norm': 1.0, 'clip_epsilon': 0.2, 'gamma': 0.99, 'lmbda': 0.9, 'entropy_eps': 0.0001, 'max_steps': 200, 'embedding_depth': 2, 'embedding_num_cells': None, 'hidden_layer_width': 48, 'use_encoder_mlp': True, 'attention_heads': 2, 'mlp_core_depth': 2, 'mlp_core_num_cells': 256, 'pooling_method': 'mean', 'embedding_mlp_actor': None, 'embedding_mlp_critic': None, 'core_mlp_actor': None, 'core_mlp_critic': None, 'profile': True, 'profiler': False}","{'inference_time': 0.0006598084416221734, 'inference_memory_usage': 0.0, 'loss': [3.4064610385894776, 2.941131070454915, 2.6604172658920286, 2.578834274609884, 2.524464192390442, 2.502469998995463], 'mean_rewards': [-10.777192115783691, -6.6925201416015625, -5.5047607421875, -3.3810558319091797, -2.517603874206543, -1.8891117572784424], 'training_memory_usage': 4562.361108779907, 'training_time': -49.892971992492676}"
