strategy,agents,rewards
concat,5,"[[35.852561950683594, 34.913734436035156, 31.550703048706055, 38.36228942871094, 38.8389778137207, 33.438629150390625, 37.57826232910156, 39.36009979248047, 35.2607536315918, 38.634029388427734], [39.60277557373047, 40.171974182128906, 33.3688850402832, 37.07853698730469, 42.36735534667969, 44.42219543457031, 36.72260284423828, 46.0535774230957, 36.19843292236328, 31.362897872924805], [51.098167419433594, 51.99142074584961, 57.552547454833984, 59.45934295654297, 60.763587951660156, 58.25084686279297, 48.129005432128906, 51.0103759765625, 58.5707893371582, 57.35873794555664], [31.034027099609375, 24.178401947021484, 24.441194534301758, 25.385465621948242, 30.089693069458008, 26.955345153808594, 25.254392623901367, 22.463924407958984, 29.425519943237305, 23.109193801879883], [60.07400894165039, 59.107486724853516, 47.565189361572266, 60.42858123779297, 64.63912963867188, 61.50295639038086, 51.175689697265625, 38.58150863647461, 58.7137565612793, 63.146583557128906], [67.20203399658203, 74.80326843261719, 75.44060516357422, 68.13375091552734, 67.34325408935547, 63.98434829711914, 73.9645004272461, 72.3966064453125, 74.82942962646484, 74.59571838378906], [75.63367462158203, 75.52299499511719, 66.65843963623047, 75.74040985107422, 65.76246643066406, 65.92967987060547, 81.10721588134766, 73.56490325927734, 70.13170623779297, 72.91830444335938], [29.13401222229004, 30.30232810974121, 35.61300277709961, 34.328670501708984, 43.70064163208008, 41.3654899597168, 40.73662567138672, 34.382911682128906, 47.9922981262207, 32.09186553955078], [30.101171493530273, 22.831275939941406, 39.3802490234375, 43.28707504272461, 48.174564361572266, 33.32182693481445, 40.804771423339844, 43.79494094848633, 42.550357818603516, 32.65721130371094], [34.44330596923828, 20.103429794311523, 29.776025772094727, 21.139450073242188, 20.567119598388672, 33.9886360168457, 19.055160522460938, 30.973186492919922, 27.93401336669922, 22.79283905029297]]"
concat,10,"[[79.31474304199219, 71.97575378417969, 68.81106567382812, 80.9624252319336, 78.93507385253906, 72.13694763183594, 63.19547653198242, 75.65377807617188, 75.70642852783203, 84.29285430908203], [65.75850677490234, 84.29357147216797, 82.00798034667969, 93.3143081665039, 78.3194351196289, 92.20025634765625, 80.22515869140625, 85.63976287841797, 78.40422821044922, 85.48429107666016], [75.49868774414062, 89.34773254394531, 90.94416809082031, 97.99172973632812, 83.99624633789062, 95.96862030029297, 81.6998519897461, 84.06245422363281, 80.78516387939453, 80.20933532714844], [78.33199310302734, 73.4959487915039, 78.99930572509766, 66.888427734375, 71.43494415283203, 73.9654541015625, 68.71528625488281, 76.68379974365234, 86.44120025634766, 70.607177734375], [93.23793029785156, 90.3626480102539, 84.78543090820312, 90.85633087158203, 87.71788787841797, 82.20124053955078, 83.34628295898438, 83.40459442138672, 95.64678192138672, 88.3901138305664], [102.25077819824219, 107.23199462890625, 89.71883392333984, 93.71875, 94.07352447509766, 97.233154296875, 86.07952880859375, 97.3629379272461, 98.72644805908203, 94.6228256225586], [85.48110961914062, 88.65049743652344, 93.26803588867188, 99.9513931274414, 84.43303680419922, 84.94612884521484, 85.12174987792969, 87.37855529785156, 81.32939910888672, 88.1205062866211], [76.40962982177734, 81.82929992675781, 73.21202087402344, 75.989013671875, 78.12957000732422, 64.27655792236328, 88.51773071289062, 81.34500885009766, 76.4953842163086, 77.63053131103516], [77.40974426269531, 85.76677703857422, 76.08562469482422, 76.77388000488281, 86.3339614868164, 72.4737319946289, 80.83203125, 82.80866241455078, 83.06047821044922, 84.88170623779297], [68.31777954101562, 63.892662048339844, 68.98088836669922, 75.84687805175781, 67.61105346679688, 73.02857971191406, 62.79346466064453, 67.99636840820312, 80.54431915283203, 76.6672134399414]]"
concat,20,"[[84.67540740966797, 83.63493347167969, 64.01109313964844, 67.28689575195312, 73.707763671875, 84.557373046875, 88.46117401123047, 64.06228637695312, 70.91838073730469, 75.70296478271484], [38.31884002685547, 45.96651077270508, 49.608333587646484, 48.766380310058594, 39.91112518310547, 44.834861755371094, 35.335758209228516, 37.99616622924805, 41.152427673339844, 33.301788330078125], [55.927433013916016, 51.13895797729492, 22.9035701751709, 40.251914978027344, 26.555356979370117, 64.0483627319336, 31.700836181640625, 32.340911865234375, 57.04726028442383, 37.4417724609375], [52.13302230834961, 46.72761917114258, 45.38688659667969, 58.377376556396484, 42.373958587646484, 40.265899658203125, 45.8992919921875, 36.055850982666016, 47.83679962158203, 53.01027297973633], [64.15755462646484, 59.91096878051758, 67.3630599975586, 68.79705047607422, 51.32283020019531, 61.352352142333984, 57.6933708190918, 72.69647216796875, 67.59952545166016, 45.386962890625], [34.96609878540039, 43.5533447265625, 5.79096794128418, -1.4446130990982056, 26.81629753112793, 9.610757827758789, 22.62097930908203, 17.13591194152832, 25.222179412841797, 33.781219482421875], [71.04607391357422, 59.637306213378906, 90.73881530761719, 70.74185180664062, 78.46392059326172, 48.28468704223633, 79.1192855834961, 73.10865020751953, 73.21820831298828, 61.00599670410156], [72.77826690673828, 54.078826904296875, 53.70325469970703, 66.18557739257812, 77.25432586669922, 71.3813705444336, 64.0442886352539, 81.15086364746094, 62.609519958496094, 45.059547424316406], [85.53813934326172, 66.95915222167969, 61.32804870605469, 58.836158752441406, 45.871150970458984, 68.59933471679688, 54.8001823425293, 58.7513542175293, 62.92117691040039, 62.98318862915039], [53.3542594909668, 61.40348434448242, 34.79789733886719, 44.95018768310547, 75.63456726074219, 52.0013427734375, 60.12165832519531, 52.19075393676758, 36.25062942504883, 48.24168014526367]]"
mlp,5,"[[48.12654113769531, 46.031776428222656, 37.29117965698242, 32.7785758972168, 34.354766845703125, 48.60770034790039, 47.23115921020508, 32.950382232666016, 33.361228942871094, 41.4964599609375], [79.36776733398438, 76.2643051147461, 66.00383758544922, 76.5965347290039, 69.75996398925781, 76.79671478271484, 70.09255981445312, 74.50720977783203, 65.35617065429688, 69.7440185546875], [67.5770263671875, 58.49882125854492, 48.02799987792969, 64.07481384277344, 63.521331787109375, 67.45244598388672, 74.6836166381836, 56.671173095703125, 66.45767974853516, 66.43365478515625], [71.94049835205078, 74.2396011352539, 67.95755004882812, 65.44001770019531, 65.40788269042969, 71.84192657470703, 60.638267517089844, 54.66975021362305, 62.35574722290039, 72.55062866210938], [57.31556701660156, 63.0655517578125, 64.53060150146484, 48.38513946533203, 61.98450469970703, 57.229251861572266, 69.27909088134766, 63.332149505615234, 59.71074295043945, 50.922889709472656], [71.80459594726562, 72.65605926513672, 60.707176208496094, 67.56111145019531, 62.72691345214844, 67.56675720214844, 61.174922943115234, 53.614444732666016, 67.4035415649414, 74.485107421875], [69.25114440917969, 79.20887756347656, 51.96416091918945, 56.41309356689453, 48.258460998535156, 72.75902557373047, 61.464752197265625, 65.29731750488281, 57.41397476196289, 59.69682312011719], [75.14574432373047, 69.99632263183594, 76.42860412597656, 79.78411102294922, 65.8604507446289, 74.96141815185547, 72.30022430419922, 66.5961685180664, 70.23296356201172, 81.15906524658203], [56.56629943847656, 52.07891082763672, 62.69584274291992, 47.98121643066406, 66.34574127197266, 48.40952682495117, 48.299705505371094, 54.189659118652344, 43.56079864501953, 44.94833755493164], [84.69844055175781, 75.41182708740234, 63.0087776184082, 63.96028137207031, 63.06182861328125, 70.25241088867188, 65.01001739501953, 68.18976593017578, 67.21955871582031, 71.28412628173828]]"
mlp,10,"[[81.62108612060547, 93.64952850341797, 83.99928283691406, 82.13713836669922, 68.97882843017578, 79.31075286865234, 77.88018798828125, 89.150146484375, 74.80622863769531, 78.95159912109375], [94.86991119384766, 93.89389038085938, 99.6884765625, 91.16779327392578, 99.760009765625, 100.88118743896484, 99.31759643554688, 101.20977783203125, 101.65830993652344, 85.03245544433594], [87.0039291381836, 80.65620422363281, 76.21394348144531, 94.27880096435547, 82.46355438232422, 80.90705871582031, 85.51795196533203, 88.46398162841797, 75.37937927246094, 80.28209686279297], [90.50350189208984, 104.4150619506836, 93.87830352783203, 87.15081787109375, 79.75685119628906, 95.35637664794922, 81.0288314819336, 89.38973999023438, 80.54720306396484, 86.38956451416016], [87.86988830566406, 97.2619400024414, 100.6362533569336, 98.14874267578125, 102.40950775146484, 94.26013946533203, 107.30726623535156, 108.05728149414062, 100.78617095947266, 98.92533874511719], [94.43960571289062, 91.29708862304688, 93.00025939941406, 98.68466186523438, 88.83168029785156, 89.30328369140625, 90.30342102050781, 99.27416229248047, 79.53726196289062, 85.18238830566406], [90.01882934570312, 89.94985961914062, 101.26083374023438, 90.28441619873047, 97.52275848388672, 92.49555969238281, 93.40534210205078, 87.35151672363281, 107.24893188476562, 94.73599243164062], [106.38472747802734, 95.72390747070312, 89.27643585205078, 106.58165740966797, 105.67266082763672, 102.317626953125, 98.7848129272461, 96.509033203125, 102.18403625488281, 98.63182067871094], [101.97259521484375, 85.53508758544922, 73.96466064453125, 84.78076171875, 87.4378433227539, 86.884521484375, 81.37101745605469, 91.50057220458984, 85.82157897949219, 89.89537048339844], [104.62333679199219, 99.35979461669922, 95.91503143310547, 108.17134094238281, 90.42145538330078, 97.039306640625, 94.1037826538086, 95.51923370361328, 110.91075897216797, 102.93708038330078]]"
mlp,20,"[[49.14285659790039, 46.874183654785156, 54.89276123046875, 49.30381774902344, 46.88861846923828, 58.336997985839844, 51.453163146972656, 55.84341049194336, 46.002288818359375, 47.96083450317383], [66.83612823486328, 49.758026123046875, 72.35507202148438, 41.368324279785156, 58.52150344848633, 60.980228424072266, 34.95438766479492, 82.21802520751953, 54.91425704956055, 47.560340881347656], [63.159420013427734, 64.86090087890625, 63.80656814575195, 81.42447662353516, 59.67613983154297, 51.62301254272461, 46.80305099487305, 59.822635650634766, 71.33657836914062, 52.977962493896484], [41.62158203125, 63.437408447265625, 63.41450500488281, 62.32450485229492, 65.37787628173828, 61.747703552246094, 64.027099609375, 38.33601379394531, 57.13683319091797, 48.6045036315918], [66.86408996582031, 79.48206329345703, 78.33335876464844, 61.01533126831055, 56.47822189331055, 71.68560791015625, 79.02505493164062, 57.71428298950195, 81.71015930175781, 87.43417358398438], [66.9490966796875, 77.48375701904297, 70.31668090820312, 71.77977752685547, 66.03948974609375, 69.71735382080078, 64.44853210449219, 65.1922607421875, 68.1277847290039, 49.7937126159668], [82.82545471191406, 83.2840576171875, 90.29523468017578, 55.07010269165039, 69.5378189086914, 59.418643951416016, 72.70425415039062, 66.5654525756836, 63.37331008911133, 65.17721557617188], [40.68737030029297, 49.1453971862793, 42.029151916503906, 50.797489166259766, 83.2513198852539, 33.278472900390625, 40.01743698120117, 49.1612548828125, 49.448604583740234, 42.35507583618164], [72.680908203125, 69.62187194824219, 79.51545715332031, 78.88335418701172, 70.61698150634766, 57.49785232543945, 70.56531524658203, 59.476341247558594, 53.18244934082031, 72.47032165527344], [60.964630126953125, 64.87188720703125, 74.58074188232422, 69.17926025390625, 59.40605545043945, 78.76946258544922, 48.13478469848633, 61.39009094238281, 73.61228942871094, 71.5034408569336]]"
mlp_local,5,"[[79.35753631591797, 75.43566131591797, 78.26986694335938, 77.691650390625, 80.48995971679688, 83.11679077148438, 77.72077178955078, 71.77987670898438, 77.98196411132812, 73.837646484375], [83.59282684326172, 76.38751220703125, 74.42420196533203, 76.42866516113281, 76.94467163085938, 75.24158477783203, 83.71363067626953, 79.0991439819336, 71.2744140625, 76.10734558105469], [69.05195617675781, 51.360626220703125, 56.88738250732422, 60.477989196777344, 61.25117874145508, 69.45909881591797, 68.68496704101562, 62.65886688232422, 70.33551788330078, 48.751869201660156], [68.53086853027344, 74.23004913330078, 68.39459991455078, 55.99696731567383, 69.54674530029297, 73.2377700805664, 63.62528991699219, 59.35200500488281, 69.65872192382812, 68.12293243408203], [84.50676727294922, 90.08909606933594, 88.33271789550781, 86.1729507446289, 94.0839614868164, 86.70075225830078, 83.72120666503906, 78.67739868164062, 77.07074737548828, 82.88446807861328], [62.29473876953125, 66.69038391113281, 48.83867645263672, 65.12569427490234, 65.87122344970703, 60.607017517089844, 72.60102844238281, 55.00537109375, 71.39060974121094, 62.90774917602539], [55.4901237487793, 53.69807815551758, 64.65048217773438, 57.55815124511719, 73.64824676513672, 57.90903091430664, 55.76808547973633, 55.364112854003906, 49.71162796020508, 75.43521118164062], [76.1734390258789, 77.44426727294922, 81.1917953491211, 81.9766845703125, 63.73012924194336, 77.46128845214844, 69.136474609375, 78.68170928955078, 82.6396255493164, 76.69945526123047], [27.134719848632812, 28.089141845703125, 42.53340148925781, 31.932432174682617, 47.8092041015625, 40.318214416503906, 39.54612350463867, 36.34001159667969, 21.501951217651367, 26.42637062072754], [88.7789306640625, 84.6653823852539, 82.0184555053711, 79.9802017211914, 83.67323303222656, 79.61717224121094, 83.35151672363281, 83.06627655029297, 81.83565521240234, 85.74508666992188]]"
mlp_local,10,"[[97.51949310302734, 111.11991119384766, 98.02623748779297, 113.46307373046875, 99.27456665039062, 104.0976791381836, 102.97050476074219, 100.32258605957031, 103.06005096435547, 110.760986328125], [100.50667572021484, 98.28089141845703, 96.85627746582031, 93.67469024658203, 99.69774627685547, 101.93201446533203, 101.18058013916016, 89.56763458251953, 99.22328186035156, 84.33556365966797], [100.00273132324219, 91.76477813720703, 112.659912109375, 90.50542449951172, 96.28685760498047, 96.03579711914062, 98.44513702392578, 85.69928741455078, 88.75257873535156, 82.15669250488281], [84.45208740234375, 75.32659149169922, 71.83197784423828, 87.8696517944336, 66.30561828613281, 73.65470886230469, 85.175048828125, 71.79312133789062, 72.9019775390625, 88.54452514648438], [92.3855209350586, 85.07238006591797, 113.08837127685547, 101.44364929199219, 92.88796997070312, 99.79536437988281, 91.50037384033203, 79.36888122558594, 100.10889434814453, 83.48363494873047], [72.07744598388672, 76.49748992919922, 99.3388671875, 88.35877227783203, 89.13837432861328, 87.68549346923828, 89.41098022460938, 85.19861602783203, 89.95808410644531, 82.56925201416016], [96.75123596191406, 96.65200805664062, 99.6302490234375, 102.24335479736328, 102.81437683105469, 98.19525909423828, 100.15464782714844, 87.37324523925781, 101.82225036621094, 92.29737854003906], [108.29154205322266, 94.61355590820312, 84.48150634765625, 104.00938415527344, 98.6633071899414, 95.56493377685547, 94.51673126220703, 93.73213195800781, 91.45159912109375, 90.3381118774414], [98.92439270019531, 89.43187713623047, 91.43681335449219, 85.6456527709961, 87.20545959472656, 93.9123306274414, 86.41614532470703, 94.85968017578125, 73.27484130859375, 77.80487060546875], [92.61872100830078, 94.99889373779297, 94.9126205444336, 102.5186767578125, 95.8388442993164, 96.11819458007812, 93.99771118164062, 97.27735900878906, 100.43428802490234, 100.22074127197266]]"
mlp_local,20,"[[68.22532653808594, 61.44630813598633, 75.1457290649414, 67.67401123046875, 65.18917846679688, 80.4186782836914, 71.65486145019531, 72.12430572509766, 65.4420166015625, 55.97119903564453], [43.6127815246582, 70.06487274169922, 50.73019790649414, 55.144134521484375, 42.91304397583008, 45.24313735961914, 35.792484283447266, 72.32569885253906, 32.62675857543945, 52.06013870239258], [43.45184326171875, 60.027767181396484, 56.93297576904297, 67.28219604492188, 36.40064239501953, 44.03825378417969, 55.28435516357422, 61.507442474365234, 54.985774993896484, 40.013240814208984], [45.48268127441406, 35.02655792236328, 38.60647201538086, 41.40007019042969, 52.959381103515625, 52.600189208984375, 56.91876220703125, 47.05278015136719, 34.09891128540039, 69.21908569335938], [49.98640823364258, 76.4333267211914, 84.559814453125, 81.95878601074219, 64.6161880493164, 84.09745025634766, 75.77796173095703, 84.51995086669922, 78.11486053466797, 78.78658294677734], [68.32347869873047, 76.64028930664062, 77.63346862792969, 70.80592346191406, 64.24226379394531, 67.56027221679688, 94.97737121582031, 62.974422454833984, 57.51676559448242, 85.0706558227539], [103.39189147949219, 62.7976188659668, 76.02197265625, 37.196617126464844, 59.05388641357422, 60.08156967163086, 67.01394653320312, 60.52528381347656, 65.29487609863281, 69.72647094726562], [69.71442413330078, 85.33546447753906, 74.36398315429688, 77.88528442382812, 90.03385925292969, 66.94290161132812, 71.47061920166016, 79.86012268066406, 72.78787994384766, 78.72232818603516], [74.08805847167969, 46.890342712402344, 53.85654830932617, 53.707576751708984, 57.01238250732422, 67.051025390625, 40.7392578125, 54.03699493408203, 47.00809097290039, 65.10005950927734], [38.24065017700195, 64.45732879638672, 54.73271560668945, 59.40265655517578, 28.28153419494629, 44.74479675292969, 45.0998649597168, 27.40972900390625, 55.47978210449219, 53.91220474243164]]"
mlp_global,5,"[[62.146568298339844, 62.162811279296875, 58.86248779296875, 60.211612701416016, 55.94760513305664, 60.465736389160156, 63.34654235839844, 55.705291748046875, 62.132545471191406, 54.10573196411133], [81.11544799804688, 76.490478515625, 66.9707260131836, 78.530029296875, 72.77913665771484, 71.87212371826172, 78.5628662109375, 82.3103256225586, 73.32433319091797, 72.0916519165039], [81.07508850097656, 73.02314758300781, 70.67131805419922, 78.26531982421875, 75.21904754638672, 91.69109344482422, 78.88536834716797, 78.77509307861328, 76.08100891113281, 76.12244415283203], [69.890869140625, 77.45402526855469, 79.06637573242188, 81.55123901367188, 70.54247283935547, 68.4250717163086, 74.06082153320312, 69.65210723876953, 80.01763153076172, 70.58489227294922], [55.78816223144531, 61.80250549316406, 59.62089157104492, 54.73629379272461, 64.04663848876953, 66.73405456542969, 62.31051254272461, 51.4060173034668, 58.97089767456055, 57.227935791015625], [38.047977447509766, 50.371158599853516, 47.79066467285156, 42.06758499145508, 47.02591323852539, 40.083106994628906, 44.42989730834961, 42.9615364074707, 39.14472579956055, 48.4932861328125], [48.2634162902832, 41.7757682800293, 40.198020935058594, 45.65660858154297, 50.818511962890625, 45.26198959350586, 43.3243522644043, 52.46297073364258, 49.95110321044922, 50.05634307861328], [73.92743682861328, 71.66173553466797, 69.949951171875, 68.9886703491211, 77.73262786865234, 72.0802230834961, 61.0007438659668, 94.65385437011719, 77.42344665527344, 81.32121276855469], [71.5578842163086, 64.74473571777344, 60.95150375366211, 66.31769561767578, 73.88707733154297, 54.16651916503906, 55.53659439086914, 68.61274719238281, 67.107666015625, 56.83097839355469], [73.9491958618164, 56.66862106323242, 48.29035949707031, 57.22685623168945, 66.33157348632812, 52.964210510253906, 49.6401481628418, 52.32664489746094, 52.39181137084961, 55.772186279296875]]"
