strategy,agents,rewards
concat,5,"[[73.63340759277344, 69.1261978149414, 78.16365814208984, 78.16350555419922, 69.33158874511719, 71.26581573486328, 76.0781021118164, 71.06969451904297, 71.6381607055664, 75.59912872314453], [34.96054458618164, 38.9541130065918, 37.04185104370117, 35.16042709350586, 44.48887634277344, 31.519710540771484, 37.444244384765625, 33.802852630615234, 47.9306526184082, 45.27693176269531], [47.444637298583984, 59.9642448425293, 37.886043548583984, 46.1566276550293, 44.75080108642578, 34.73488235473633, 44.575252532958984, 29.133377075195312, 41.259124755859375, 45.60370635986328], [66.70492553710938, 66.61949157714844, 66.37982177734375, 72.1839828491211, 60.42659378051758, 64.30511474609375, 59.10359191894531, 65.41568756103516, 63.68471908569336, 62.6127815246582], [79.25814819335938, 84.9033432006836, 82.3000259399414, 82.37296295166016, 91.10550689697266, 83.30327606201172, 82.14311218261719, 71.78433990478516, 85.59915924072266, 85.05371856689453], [55.272891998291016, 54.422462463378906, 59.37544250488281, 55.46751403808594, 56.96045684814453, 58.58313751220703, 60.55217361450195, 52.57160186767578, 55.51744079589844, 58.37554168701172], [55.6374626159668, 46.34098815917969, 53.24779510498047, 38.3370246887207, 45.816139221191406, 54.636112213134766, 57.239013671875, 50.342498779296875, 43.5307502746582, 40.459312438964844], [58.453678131103516, 60.870235443115234, 65.49253845214844, 73.30225372314453, 63.06835174560547, 62.89715576171875, 65.27599334716797, 75.7044448852539, 71.49067687988281, 77.65823364257812], [37.76232147216797, 39.51466751098633, 51.80874252319336, 51.72886657714844, 54.58082580566406, 49.881553649902344, 55.01218795776367, 46.66807174682617, 46.447757720947266, 40.615596771240234], [59.184295654296875, 54.94092559814453, 47.983184814453125, 49.348995208740234, 47.84412384033203, 45.16153335571289, 56.83024597167969, 54.236141204833984, 49.033443450927734, 52.446041107177734]]"
concat,10,"[[93.69498443603516, 87.75469970703125, 89.62189483642578, 88.90804290771484, 91.19271850585938, 88.13444519042969, 88.9178466796875, 88.2054443359375, 100.39832305908203, 92.06039428710938], [82.13968658447266, 82.0060043334961, 72.93888854980469, 81.45043182373047, 73.49728393554688, 79.02925872802734, 81.91315460205078, 80.19803619384766, 65.34308624267578, 89.01618194580078], [78.9662094116211, 84.31139373779297, 83.93569946289062, 84.3838119506836, 82.25184631347656, 79.05255126953125, 81.17243957519531, 78.695556640625, 79.80912780761719, 83.21351623535156], [86.49304962158203, 87.54081726074219, 92.72300720214844, 84.41561889648438, 88.70110321044922, 92.18541717529297, 89.52067565917969, 83.52112579345703, 90.09536743164062, 89.57537078857422], [97.62045288085938, 94.06187438964844, 87.06655883789062, 92.90045928955078, 95.74617767333984, 98.88642120361328, 87.7862548828125, 93.52471160888672, 86.64833068847656, 97.2469482421875], [90.83477020263672, 79.99565124511719, 84.79788208007812, 80.42188262939453, 91.13959503173828, 93.6849365234375, 77.30440521240234, 86.14765930175781, 75.83948516845703, 80.42525482177734], [77.1333236694336, 83.02587890625, 83.27326965332031, 81.33944702148438, 92.07996368408203, 80.952392578125, 91.20038604736328, 87.5406723022461, 93.15143585205078, 81.78900146484375], [93.41312408447266, 96.05697631835938, 89.51292419433594, 98.32972717285156, 86.1037368774414, 96.27310180664062, 87.03626251220703, 101.38095092773438, 108.48155975341797, 96.91368865966797], [94.02381134033203, 96.36712646484375, 88.93547821044922, 91.83332061767578, 97.1329574584961, 92.00830841064453, 91.62506103515625, 92.26018524169922, 76.1864013671875, 88.82627868652344], [89.43540954589844, 88.81009674072266, 83.72306060791016, 89.34107208251953, 87.39291381835938, 76.9033203125, 81.78868865966797, 90.37870788574219, 85.46649169921875, 97.16808319091797]]"
concat,20,"[[41.549896240234375, 62.5427360534668, 54.645782470703125, 38.25490188598633, 39.800575256347656, 54.78551483154297, 34.21603012084961, 46.16842269897461, 61.3988037109375, 38.32878494262695], [76.8597183227539, 70.13833618164062, 62.60990905761719, 44.30740737915039, 59.27958297729492, 68.94469451904297, 55.96113204956055, 48.7431755065918, 44.459110260009766, 80.77410888671875], [58.9853630065918, 51.170745849609375, 45.004669189453125, 72.8203125, 61.397579193115234, 52.46494674682617, 63.85814666748047, 73.31707763671875, 54.319725036621094, 54.152645111083984], [64.34719848632812, 63.111209869384766, 73.81597900390625, 69.43675231933594, 78.84730529785156, 71.764404296875, 59.97270202636719, 60.379920959472656, 78.39509582519531, 84.76583099365234], [73.4609375, 73.82768249511719, 61.52721405029297, 74.35734558105469, 56.59828186035156, 70.15279388427734, 61.96792984008789, 61.040794372558594, 63.43225860595703, 77.48832702636719], [54.64045715332031, 57.289154052734375, 32.403255462646484, 52.02779769897461, 56.882728576660156, 33.32741165161133, 37.54547119140625, 48.83832550048828, 48.61300277709961, 35.0675048828125], [63.226661682128906, 77.67593383789062, 87.04130554199219, 84.87438201904297, 80.12735748291016, 85.28949737548828, 68.77240753173828, 74.43731689453125, 70.2490005493164, 78.3918228149414], [66.41067504882812, 50.54104232788086, 47.9177360534668, 82.23782348632812, 54.151973724365234, 55.11174392700195, 46.65690231323242, 61.67828369140625, 66.96833038330078, 80.87442016601562], [88.27758026123047, 81.31616973876953, 70.64849090576172, 69.83094787597656, 75.41053009033203, 78.14762878417969, 55.7476806640625, 53.474822998046875, 68.87313842773438, 67.40330505371094], [60.8021354675293, 49.979793548583984, 53.58356857299805, 69.38410949707031, 54.33888244628906, 50.65438461303711, 70.49736785888672, 72.53459167480469, 69.17117309570312, 76.90845489501953]]"
mlp,5,"[[53.23081970214844, 50.2282600402832, 48.948020935058594, 54.360748291015625, 63.45655059814453, 54.08356475830078, 52.826759338378906, 59.317413330078125, 50.70087814331055, 45.76033401489258], [69.64187622070312, 59.824954986572266, 65.39855194091797, 60.860313415527344, 66.8871841430664, 48.413944244384766, 66.35877990722656, 53.09542465209961, 53.88302230834961, 55.685768127441406], [50.82332229614258, 57.46045684814453, 45.42448425292969, 60.29739761352539, 51.616310119628906, 42.104984283447266, 48.63032913208008, 61.67401123046875, 51.91630935668945, 63.59615707397461], [51.6981315612793, 56.61032485961914, 56.370025634765625, 70.8502197265625, 60.910369873046875, 56.17221450805664, 54.51152801513672, 55.51690673828125, 65.80965423583984, 61.80327606201172], [66.79991912841797, 64.4520034790039, 65.48851776123047, 60.521549224853516, 69.92192840576172, 62.29991149902344, 62.0109977722168, 66.91800689697266, 63.65134048461914, 58.3023567199707], [58.65553283691406, 54.27836990356445, 67.4936752319336, 54.60890579223633, 56.918514251708984, 54.11437225341797, 63.669532775878906, 60.66230392456055, 57.57720184326172, 57.37285614013672], [38.61487579345703, 44.648712158203125, 49.44280242919922, 41.0992431640625, 51.652034759521484, 52.576934814453125, 40.14045715332031, 47.725341796875, 44.23665237426758, 35.530418395996094], [66.60832214355469, 72.31056213378906, 74.5973892211914, 77.3834457397461, 69.9988021850586, 66.82622528076172, 70.4527359008789, 68.9891586303711, 70.79875946044922, 71.53822326660156], [71.03068542480469, 57.945709228515625, 63.19636154174805, 67.864013671875, 59.91926956176758, 76.52933502197266, 70.59153747558594, 59.027122497558594, 63.89118576049805, 57.58415222167969], [43.12001419067383, 53.66169357299805, 47.264404296875, 52.00114440917969, 46.05281066894531, 52.574310302734375, 58.868045806884766, 57.90304183959961, 45.75114059448242, 55.40848159790039]]"
mlp,10,"[[87.25769805908203, 95.4900894165039, 85.60726928710938, 83.38639831542969, 86.57172393798828, 78.13909149169922, 93.07854461669922, 84.41520690917969, 73.11471557617188, 92.73444366455078], [96.87330627441406, 93.47503662109375, 104.19236755371094, 103.44829559326172, 100.96990966796875, 83.36726379394531, 95.50080108642578, 74.66427612304688, 106.76298522949219, 96.94351959228516], [89.4147720336914, 87.57440948486328, 87.60900115966797, 89.18717193603516, 92.33877563476562, 83.47400665283203, 87.19232940673828, 88.17261505126953, 89.286376953125, 86.57025146484375], [93.13677215576172, 84.80524444580078, 70.89401245117188, 89.57701873779297, 73.4076919555664, 79.11321258544922, 90.61402130126953, 74.78185272216797, 84.0362548828125, 77.43885040283203], [90.36323547363281, 101.31810760498047, 101.993408203125, 104.95802307128906, 101.99004364013672, 95.29627227783203, 106.5176010131836, 105.61566925048828, 94.43634033203125, 108.17890930175781], [86.30982971191406, 89.51876068115234, 82.60681915283203, 88.71830749511719, 87.45723724365234, 90.3934097290039, 83.77046966552734, 94.5002212524414, 89.76403045654297, 88.4116439819336], [87.97058868408203, 91.6760025024414, 84.0830307006836, 86.69956970214844, 90.7911148071289, 94.60967254638672, 84.51243591308594, 91.83308410644531, 98.96171569824219, 87.10587310791016], [103.4758529663086, 84.16777038574219, 74.74771118164062, 87.51620483398438, 90.74793243408203, 89.03472137451172, 93.872802734375, 84.23080444335938, 87.33679962158203, 78.98351287841797], [102.98184967041016, 91.6733627319336, 98.71123504638672, 86.78646087646484, 93.7990493774414, 98.79330444335938, 97.73950958251953, 95.3405990600586, 78.6552734375, 99.82209777832031], [96.58436584472656, 82.18811798095703, 94.60291290283203, 95.67395782470703, 79.32489013671875, 86.98602294921875, 83.43933868408203, 81.42684173583984, 95.08002471923828, 99.536376953125]]"
mlp,20,"[[80.21820831298828, 77.61579895019531, 78.5592269897461, 67.65402221679688, 72.51655578613281, 91.6787338256836, 86.16801452636719, 87.03047180175781, 85.11547088623047, 65.28180694580078], [74.64064025878906, 90.21768188476562, 54.6412353515625, 59.50185012817383, 55.26385498046875, 52.52738571166992, 45.90267562866211, 74.0149154663086, 68.78421020507812, 62.42512893676758], [49.28244400024414, 66.52769470214844, 61.26938247680664, 61.44401168823242, 77.74585723876953, 55.4985466003418, 87.18096923828125, 61.55371856689453, 67.58586120605469, 69.24494934082031], [78.18165588378906, 106.0270004272461, 101.39287567138672, 94.95840454101562, 91.79627990722656, 92.76811981201172, 85.64537811279297, 111.54225158691406, 89.90122985839844, 97.91172790527344], [54.23632049560547, 77.82992553710938, 58.41126251220703, 64.77873992919922, 63.82390594482422, 39.80290222167969, 80.51349639892578, 66.44451904296875, 55.23487091064453, 47.14580154418945], [55.29654312133789, 54.01553726196289, 52.303653717041016, 69.63117218017578, 80.73908996582031, 52.14432144165039, 77.83907318115234, 58.89077377319336, 49.99537658691406, 70.420166015625], [56.0865478515625, 35.047645568847656, 18.9190673828125, 34.66500473022461, 33.45828628540039, 30.937671661376953, 31.202665328979492, 61.24123764038086, 26.198287963867188, 21.08258628845215], [37.32544708251953, 61.32796096801758, 57.82114028930664, 66.19874572753906, 63.27180862426758, 64.4355239868164, 59.38191223144531, 43.3481330871582, 71.86550903320312, 69.6762466430664], [62.6796875, 72.56535339355469, 58.182899475097656, 56.32828140258789, 67.89263916015625, 58.61293029785156, 32.5500602722168, 48.15892791748047, 49.78414535522461, 64.42598724365234], [65.76616668701172, 74.4360122680664, 57.44754409790039, 56.4244384765625, 59.9991455078125, 63.30422592163086, 58.62291717529297, 56.349266052246094, 57.53030014038086, 78.75834655761719]]"
mlp_local,5,"[[55.00231170654297, 60.56233596801758, 51.440853118896484, 41.554771423339844, 63.275856018066406, 56.16686248779297, 65.62726593017578, 60.29508590698242, 62.98722839355469, 53.463539123535156], [59.730934143066406, 59.8297119140625, 64.11119079589844, 57.70539093017578, 69.33647155761719, 51.31954574584961, 67.94145965576172, 55.04188537597656, 67.4713134765625, 54.950077056884766], [62.83317184448242, 58.477447509765625, 59.406639099121094, 57.620147705078125, 46.388980865478516, 68.38557434082031, 67.11427307128906, 66.6812973022461, 62.373470306396484, 66.0440673828125], [68.06730651855469, 65.98789978027344, 69.85541534423828, 73.18928527832031, 64.77609252929688, 77.38062286376953, 74.26828002929688, 67.00174713134766, 77.4146728515625, 72.05503845214844], [60.49042892456055, 67.64277648925781, 59.52070236206055, 76.73394775390625, 73.84925842285156, 64.1383056640625, 70.32063293457031, 59.07724380493164, 71.10302734375, 57.735050201416016], [65.04193878173828, 65.68798828125, 83.20136260986328, 60.48359298706055, 75.84680938720703, 61.015411376953125, 73.57122039794922, 63.63428497314453, 52.71971893310547, 70.4074935913086], [70.3934097290039, 67.75641632080078, 55.6005859375, 60.829078674316406, 70.1105728149414, 69.89069366455078, 51.73042297363281, 45.61156463623047, 57.52361297607422, 58.08454513549805], [68.42166137695312, 76.57792663574219, 79.2463607788086, 75.24016571044922, 61.1203498840332, 65.15955352783203, 71.26766204833984, 69.45576477050781, 76.35309600830078, 73.11691284179688], [70.87916564941406, 56.4133186340332, 50.405029296875, 61.15763854980469, 61.6524658203125, 52.52986526489258, 46.55178451538086, 47.5281982421875, 47.45710754394531, 59.11202621459961], [71.97400665283203, 61.5289192199707, 53.47503662109375, 48.4182243347168, 58.12199401855469, 67.1978759765625, 66.69989013671875, 55.049259185791016, 69.86798095703125, 57.317955017089844]]"
mlp_local,10,"[[92.51522827148438, 101.24616241455078, 91.9145278930664, 106.50362396240234, 97.25157928466797, 105.34807586669922, 81.19487762451172, 94.15091705322266, 89.12364959716797, 105.04358673095703], [91.43241882324219, 85.4900894165039, 98.40918731689453, 82.77017211914062, 85.8418197631836, 92.13591003417969, 86.28947448730469, 91.016357421875, 97.11727905273438, 70.838134765625], [101.31940460205078, 98.01558685302734, 102.07559967041016, 81.26319122314453, 99.17408752441406, 94.49955749511719, 103.96450805664062, 101.21759033203125, 104.85673522949219, 81.87300872802734], [103.54277801513672, 98.70297241210938, 104.98870086669922, 97.79903411865234, 94.82976531982422, 85.68634033203125, 87.75100708007812, 79.55962371826172, 99.870849609375, 99.37987518310547], [93.3471908569336, 98.8974609375, 104.1219253540039, 97.17739868164062, 101.6680679321289, 91.30968475341797, 98.57247161865234, 105.22006225585938, 93.04135131835938, 89.02474212646484], [80.58678436279297, 77.21050262451172, 78.50945281982422, 98.96443939208984, 83.65648651123047, 88.20215606689453, 86.86145782470703, 70.131103515625, 82.36181640625, 79.56907653808594], [90.08462524414062, 87.48554992675781, 82.3259506225586, 94.51181030273438, 80.38699340820312, 84.23361206054688, 78.5781021118164, 91.20833587646484, 104.19036865234375, 90.20349884033203], [110.50215911865234, 99.02664184570312, 95.79084777832031, 96.84940338134766, 91.87574768066406, 95.44432830810547, 97.04906463623047, 93.12726593017578, 97.88568878173828, 90.5508041381836], [86.47109985351562, 92.20525360107422, 102.5511245727539, 87.36283111572266, 95.88683319091797, 98.48614501953125, 94.78333282470703, 86.65374755859375, 82.45845031738281, 97.49811553955078], [80.98523712158203, 84.0491943359375, 84.18535614013672, 84.94791412353516, 87.94144439697266, 80.92655944824219, 91.95970153808594, 77.65361022949219, 85.02234649658203, 79.65445709228516]]"
mlp_local,20,"[[68.33770751953125, 39.60512161254883, 52.43827438354492, 48.5744743347168, 61.281211853027344, 51.678340911865234, 55.23128890991211, 53.68313980102539, 48.34132766723633, 73.45183563232422], [68.658935546875, 72.81961822509766, 54.061012268066406, 73.8045654296875, 49.1042366027832, 67.2701187133789, 74.10818481445312, 58.68637466430664, 72.49195098876953, 44.39274978637695], [47.785526275634766, 50.96868896484375, 63.13698959350586, 72.43423461914062, 50.42833709716797, 54.10371780395508, 46.25536346435547, 58.17329406738281, 39.5412712097168, 57.575313568115234], [42.507728576660156, 54.86115264892578, 49.91046905517578, 60.115867614746094, 49.0285530090332, 41.49714279174805, 58.11045455932617, 37.90545654296875, 54.458412170410156, 42.475486755371094], [79.21002960205078, 101.76458740234375, 69.23362731933594, 57.94641876220703, 69.09659576416016, 55.49846267700195, 62.68535232543945, 73.61479187011719, 69.50989532470703, 61.28176498413086], [58.10855484008789, 47.13865280151367, 43.70130920410156, 55.2192497253418, 79.38694763183594, 60.89635467529297, 72.3708267211914, 47.28532409667969, 49.33041000366211, 68.3893051147461], [81.24665832519531, 60.4626350402832, 44.98763656616211, 66.5114974975586, 57.04590606689453, 56.47355651855469, 49.34470748901367, 64.58802795410156, 67.39008331298828, 42.58496856689453], [52.74430847167969, 53.429256439208984, 61.7259635925293, 76.90630340576172, 85.5640640258789, 53.38883972167969, 55.97648620605469, 61.693321228027344, 55.35173797607422, 66.16970825195312], [80.0719223022461, 69.26606750488281, 71.69268035888672, 72.44036102294922, 72.32536315917969, 31.488977432250977, 70.00906372070312, 53.84427261352539, 34.28767776489258, 54.56477355957031], [51.38344192504883, 68.8629150390625, 68.4345474243164, 60.348907470703125, 52.8347282409668, 36.95375442504883, 54.529842376708984, 63.8350715637207, 46.545188903808594, 71.44066619873047]]"
mlp_global,5,"[[65.27288818359375, 76.1933364868164, 56.94573974609375, 67.20665740966797, 78.51881408691406, 58.675411224365234, 64.88044738769531, 72.04800415039062, 65.59434509277344, 68.05171966552734], [76.88898468017578, 73.9547348022461, 66.86502075195312, 72.87639617919922, 64.78687286376953, 65.7846908569336, 79.00093078613281, 75.4169692993164, 65.72645568847656, 67.64620971679688], [55.36335754394531, 46.86101531982422, 52.958980560302734, 50.127445220947266, 47.67985153198242, 57.400691986083984, 62.877140045166016, 62.38589096069336, 52.278167724609375, 44.247127532958984], [51.943267822265625, 60.98846435546875, 66.47215270996094, 59.95798873901367, 50.58733367919922, 60.85141372680664, 49.61701202392578, 55.13474655151367, 60.00725173950195, 66.2832260131836], [58.55671691894531, 52.31104278564453, 53.28168487548828, 61.67362594604492, 58.819637298583984, 54.147850036621094, 58.899349212646484, 57.88835525512695, 44.57263946533203, 59.628334045410156], [56.07900619506836, 47.82331466674805, 55.500301361083984, 58.29033279418945, 58.61341857910156, 59.18289566040039, 56.535484313964844, 51.04673385620117, 54.53483200073242, 58.17634582519531], [72.775634765625, 76.01480102539062, 51.913612365722656, 55.288841247558594, 63.656131744384766, 68.87759399414062, 60.4609260559082, 65.66338348388672, 61.28950119018555, 68.69921875], [62.32765579223633, 68.06765747070312, 66.96503448486328, 63.08053207397461, 67.45587158203125, 72.8852767944336, 54.11113357543945, 76.6905288696289, 72.77448272705078, 71.32938385009766], [84.8485107421875, 70.35346221923828, 67.29537200927734, 73.90729522705078, 76.2342300415039, 58.662540435791016, 73.35824584960938, 68.80567932128906, 66.3483657836914, 63.4646110534668], [35.317604064941406, 57.967655181884766, 49.3889274597168, 42.23356628417969, 52.33743667602539, 47.1837158203125, 50.584285736083984, 54.84799575805664, 41.54874038696289, 44.41633605957031]]"
