strategy,agents,rewards
concat,5,"[[89.84555053710938, 84.55349731445312, 85.4404525756836, 75.43317413330078, 95.47602081298828, 84.82365417480469, 88.25736999511719, 85.02510070800781, 83.52388763427734, 82.11245727539062], [53.332820892333984, 71.2457504272461, 59.345115661621094, 67.7089614868164, 63.81267547607422, 55.91054153442383, 65.76971435546875, 65.446533203125, 67.24229431152344, 72.30042266845703], [88.118896484375, 92.89298248291016, 87.04395294189453, 89.14079284667969, 88.0912857055664, 90.0677719116211, 89.0691146850586, 88.75730895996094, 87.5521011352539, 87.19413757324219], [82.37090301513672, 72.09635925292969, 85.67646026611328, 85.19171142578125, 79.33014678955078, 92.97856903076172, 83.84357452392578, 95.7558822631836, 79.25888061523438, 79.90498352050781], [80.09300994873047, 75.78500366210938, 68.72317504882812, 73.29916381835938, 73.78389739990234, 74.03569793701172, 75.85321807861328, 76.56156921386719, 71.86933898925781, 70.3054428100586], [62.889747619628906, 60.7684440612793, 60.12125778198242, 58.768516540527344, 61.748348236083984, 64.7122573852539, 67.62626647949219, 56.784141540527344, 62.75166702270508, 62.783348083496094], [84.30560302734375, 79.74657440185547, 89.916259765625, 83.92601013183594, 83.90254974365234, 76.29023742675781, 84.3467025756836, 81.30412292480469, 93.6738510131836, 89.94160461425781], [96.178955078125, 84.02281188964844, 90.25023651123047, 90.17298126220703, 95.85659790039062, 89.67950439453125, 87.4020004272461, 94.75630187988281, 94.78462982177734, 92.41709899902344], [89.00000762939453, 75.02411651611328, 91.0089340209961, 93.9629135131836, 97.55491638183594, 84.97248840332031, 86.88578033447266, 94.68826293945312, 94.8369369506836, 95.2951431274414], [99.54267883300781, 89.76897430419922, 93.43765258789062, 90.6009292602539, 93.15152740478516, 86.14096069335938, 87.60189056396484, 91.15765380859375, 86.21299743652344, 95.70899963378906]]"
concat,10,"[[102.55802154541016, 99.3780746459961, 109.829345703125, 97.02005004882812, 100.01234436035156, 104.76139068603516, 93.362060546875, 96.34282684326172, 103.78954315185547, 95.36005401611328], [98.4096450805664, 99.914306640625, 85.75743865966797, 100.79248809814453, 92.9619140625, 110.1978759765625, 104.67459869384766, 100.88265991210938, 96.40906524658203, 91.09186553955078], [104.13529205322266, 112.08678436279297, 111.9247817993164, 108.69680786132812, 108.80535125732422, 112.43029022216797, 103.26136016845703, 97.02027893066406, 107.33553314208984, 107.97999572753906], [90.9692611694336, 106.20624542236328, 107.71951293945312, 98.13253784179688, 101.28538513183594, 113.94160461425781, 91.03643798828125, 113.77291870117188, 106.2824478149414, 110.36787414550781], [103.13199615478516, 91.35540008544922, 96.82122802734375, 88.0945053100586, 90.42495727539062, 94.72888946533203, 93.2031021118164, 107.0941390991211, 94.66725158691406, 108.63786315917969], [101.39413452148438, 103.93054962158203, 96.33187866210938, 105.15252685546875, 96.48426055908203, 93.53772735595703, 101.57645416259766, 103.31258392333984, 88.1365737915039, 92.82371520996094], [96.39340209960938, 108.78843688964844, 95.07726287841797, 114.78959655761719, 104.83458709716797, 100.90635681152344, 111.8226318359375, 94.72129821777344, 105.78589630126953, 108.38306427001953], [104.24655151367188, 111.61182403564453, 90.58763122558594, 102.48320007324219, 114.47212219238281, 108.47265625, 107.65547180175781, 101.26152801513672, 109.70231628417969, 111.1656265258789], [106.72007751464844, 102.83722686767578, 114.01153564453125, 110.74301147460938, 106.75238800048828, 113.97147369384766, 111.06476593017578, 101.1015396118164, 106.6925277709961, 104.6371841430664], [102.74555969238281, 96.41358947753906, 100.4742202758789, 100.78731536865234, 97.6555404663086, 95.80657196044922, 99.17589569091797, 88.13143157958984, 101.89485931396484, 96.86468505859375]]"
concat,20,"[[72.04729461669922, 95.8876724243164, 70.79188537597656, 82.57952117919922, 59.91161346435547, 93.07657623291016, 86.44744110107422, 49.686153411865234, 87.70606994628906, 74.75157928466797], [82.89682006835938, 66.77096557617188, 85.08052062988281, 69.8720474243164, 89.49722290039062, 73.91068267822266, 87.73688507080078, 74.49857330322266, 69.07073974609375, 62.809444427490234], [58.38492202758789, 54.41653060913086, 49.41621398925781, 34.90814208984375, 37.156036376953125, 60.88198471069336, 68.533447265625, 69.60700225830078, 59.887943267822266, 48.78415298461914], [68.152099609375, 36.394981384277344, 68.14804077148438, 53.77968215942383, 29.318925857543945, 59.96116638183594, 50.09611129760742, 42.7590217590332, 48.193050384521484, 58.860103607177734], [49.199310302734375, 36.05195617675781, 32.654178619384766, 63.51647186279297, 47.47934341430664, 41.95973587036133, 32.19580078125, 63.90953063964844, 70.23394775390625, 77.251708984375], [67.89071655273438, 58.77531433105469, 51.66537857055664, 87.74871063232422, 41.938472747802734, 53.36965560913086, 40.462100982666016, 55.54313659667969, 42.47114562988281, 66.95942687988281], [67.64215087890625, 40.75149917602539, 60.25947952270508, 58.5772590637207, 59.06776809692383, 61.31431579589844, 46.80506134033203, 27.791545867919922, 41.96169662475586, 43.810977935791016], [45.1309814453125, 67.28800964355469, 38.32257080078125, 44.238189697265625, 33.60578155517578, 54.280765533447266, 48.427223205566406, 56.93608093261719, 65.20097351074219, 42.504276275634766], [57.18390655517578, 41.65130615234375, 42.021087646484375, 60.99757766723633, 50.03168487548828, 56.388240814208984, 56.857662200927734, 57.968101501464844, 76.80438995361328, 46.39326095581055], [72.9966812133789, 60.0295524597168, 64.40050506591797, 63.072593688964844, 66.7802734375, 74.17037963867188, 73.96803283691406, 89.25619506835938, 71.34422302246094, 81.14251708984375]]"
mlp,5,"[[86.56362915039062, 79.51549530029297, 82.78902435302734, 86.59696960449219, 83.43994903564453, 91.01433563232422, 87.17047882080078, 81.0022964477539, 84.56290435791016, 88.01525115966797], [64.9013442993164, 63.12967300415039, 66.57013702392578, 64.71395111083984, 60.04145812988281, 68.70220184326172, 63.023014068603516, 59.555057525634766, 72.39722442626953, 69.55699920654297], [82.64253997802734, 81.93541717529297, 82.3683090209961, 83.63976287841797, 75.18265533447266, 86.1305160522461, 85.96208953857422, 75.99519348144531, 82.16163635253906, 94.91976928710938], [67.88953399658203, 62.33919906616211, 67.65889739990234, 69.6404800415039, 66.39584350585938, 66.99911499023438, 67.76403045654297, 64.84307098388672, 62.948829650878906, 72.6675796508789], [74.50230407714844, 87.75963592529297, 84.56409454345703, 70.03411865234375, 79.9938735961914, 74.25092315673828, 74.4959487915039, 69.0300064086914, 77.77336883544922, 69.2613296508789], [86.99100494384766, 80.09638214111328, 85.64466094970703, 80.05622100830078, 86.2416000366211, 78.15579986572266, 87.18128967285156, 82.77696990966797, 89.78874206542969, 82.05948638916016], [69.62894439697266, 59.349884033203125, 62.88296890258789, 51.65291213989258, 58.873939514160156, 53.34374237060547, 66.5656967163086, 61.57038497924805, 49.830135345458984, 61.051124572753906], [53.76972579956055, 54.75701904296875, 64.92878723144531, 57.978294372558594, 61.112857818603516, 54.817501068115234, 43.127540588378906, 73.50988006591797, 65.80999755859375, 68.61256408691406], [83.89994049072266, 76.87692260742188, 72.29828643798828, 69.23516082763672, 81.63434600830078, 72.22930145263672, 74.73058319091797, 73.92029571533203, 68.06610870361328, 78.274658203125], [77.09168243408203, 78.32079315185547, 73.91124725341797, 74.06389617919922, 75.04534912109375, 74.79503631591797, 73.36825561523438, 79.46441650390625, 72.65265655517578, 72.25040435791016]]"
mlp,10,"[[99.46929931640625, 105.85152435302734, 97.42706298828125, 91.3617172241211, 101.5199966430664, 87.02098846435547, 107.41704559326172, 98.91962432861328, 101.60501861572266, 112.74200439453125], [103.86585998535156, 93.0317153930664, 94.05245971679688, 105.53922271728516, 99.1036605834961, 104.0073471069336, 90.36467742919922, 86.73983001708984, 93.47276306152344, 99.85615539550781], [99.02729034423828, 95.05852508544922, 107.97015380859375, 83.5477066040039, 83.9273681640625, 93.89867401123047, 104.10092163085938, 103.63190460205078, 111.1461181640625, 86.60447692871094], [89.54715728759766, 108.2093505859375, 98.3924560546875, 93.0736312866211, 89.67799377441406, 93.23112487792969, 72.1030044555664, 102.85784149169922, 83.33467102050781, 80.63060760498047], [91.04622650146484, 92.93195343017578, 111.55138397216797, 95.8060302734375, 97.17220306396484, 108.05951690673828, 80.80803680419922, 98.9760513305664, 84.01405334472656, 99.36686706542969], [101.8921127319336, 98.74203491210938, 95.72417449951172, 105.01752471923828, 91.6164321899414, 96.95211029052734, 110.8554458618164, 106.5657730102539, 109.14557647705078, 94.65707397460938], [87.47521209716797, 86.19639587402344, 100.81507873535156, 95.11210632324219, 100.0346450805664, 98.47881317138672, 93.53570556640625, 89.3945541381836, 105.08684539794922, 89.89934539794922], [106.5162124633789, 87.62550354003906, 83.57749938964844, 85.70048522949219, 96.58169555664062, 103.31287384033203, 94.41053009033203, 99.20121765136719, 93.19442749023438, 92.5282211303711], [97.5535888671875, 109.31212615966797, 88.3969955444336, 88.37034606933594, 92.70747375488281, 92.83443450927734, 100.50758361816406, 100.84171295166016, 83.45146179199219, 84.65432739257812], [95.67439270019531, 93.86458587646484, 107.85624694824219, 109.16838073730469, 103.93821716308594, 106.6236343383789, 101.42105102539062, 95.19098663330078, 113.2646255493164, 107.03929901123047]]"
mlp,20,"[[70.33854675292969, 54.2609977722168, 73.17433166503906, 50.713993072509766, 62.52913284301758, 77.37330627441406, 56.731868743896484, 60.23569107055664, 55.40979766845703, 58.05218505859375], [65.69532775878906, 68.4874267578125, 49.163124084472656, 52.392478942871094, 68.27613067626953, 48.07362365722656, 40.608436584472656, 57.75358581542969, 32.8768196105957, 35.348026275634766], [31.513837814331055, 55.65182113647461, 20.532812118530273, 49.502769470214844, 66.33828735351562, 16.162492752075195, 51.633419036865234, 27.685197830200195, 32.922218322753906, 29.56282615661621], [81.9673843383789, 87.1210708618164, 83.49640655517578, 71.62122344970703, 84.7749252319336, 88.16748809814453, 95.77518463134766, 90.71326446533203, 90.9120101928711, 80.90898132324219], [33.34663391113281, 47.117530822753906, 43.89641571044922, 28.130094528198242, 34.51399230957031, 49.101314544677734, 72.53673553466797, 33.0245361328125, 37.9659538269043, 34.049503326416016], [63.76679611206055, 65.45124816894531, 58.187103271484375, 59.87382125854492, 45.6311149597168, 39.746646881103516, 56.65724563598633, 77.98408508300781, 70.29894256591797, 80.7039794921875], [78.63048553466797, 61.38756561279297, 38.64312744140625, 51.78285217285156, 51.13343811035156, 50.19252014160156, 51.86473083496094, 38.36058807373047, 57.32464599609375, 33.443458557128906], [30.349231719970703, 38.85299301147461, 47.42091369628906, 68.40303802490234, 57.74200439453125, 31.068403244018555, 51.62427520751953, 35.70021057128906, 47.42588424682617, 14.387354850769043], [53.23808670043945, 76.951904296875, 51.36473846435547, 57.5987548828125, 63.476783752441406, 49.50328063964844, 63.94231033325195, 59.86673355102539, 43.182861328125, 49.721168518066406], [76.78871154785156, 74.70639038085938, 90.97966003417969, 46.4276123046875, 55.13264465332031, 57.91847229003906, 58.93747329711914, 76.03138732910156, 55.42983627319336, 60.19168472290039]]"
mlp_local,5,"[[83.61392211914062, 77.1470947265625, 82.63158416748047, 77.14335632324219, 73.42186737060547, 80.73758697509766, 78.65003204345703, 75.21780395507812, 76.82189178466797, 77.91657257080078], [76.46795654296875, 68.49845123291016, 79.59750366210938, 79.72003173828125, 76.58708953857422, 78.44930267333984, 74.74153900146484, 86.86746978759766, 75.31656646728516, 72.1173095703125], [85.51806640625, 78.60186767578125, 85.09983825683594, 84.11356353759766, 76.28340148925781, 81.515869140625, 88.8507308959961, 92.37964630126953, 86.94426727294922, 87.56900787353516], [71.52400207519531, 63.962791442871094, 79.43492126464844, 75.1155776977539, 73.18081665039062, 70.91694641113281, 70.08919525146484, 71.15178680419922, 65.0656509399414, 71.32661437988281], [74.49650573730469, 73.04164123535156, 73.07225799560547, 73.10370635986328, 79.11592102050781, 76.94474029541016, 73.57748413085938, 65.82340240478516, 65.89869689941406, 68.6072769165039], [69.89606475830078, 62.48748016357422, 72.37979125976562, 85.1009750366211, 69.4255142211914, 70.80342102050781, 62.410709381103516, 71.35298919677734, 67.43376159667969, 67.14189910888672], [75.64044189453125, 77.47505187988281, 77.42304992675781, 74.37458038330078, 80.57347869873047, 77.417724609375, 83.08911895751953, 75.16763305664062, 73.05785369873047, 74.11647033691406], [82.79903411865234, 88.76209259033203, 85.05297088623047, 89.5937728881836, 70.8924560546875, 74.9730453491211, 82.31494903564453, 82.49616241455078, 72.11299133300781, 80.48945617675781], [86.98506164550781, 82.55835723876953, 71.81521606445312, 82.32579803466797, 77.27579498291016, 75.38372039794922, 68.6923599243164, 70.3839340209961, 81.73377990722656, 81.74198913574219], [87.83773803710938, 82.92890930175781, 80.7065658569336, 74.02394104003906, 76.46759796142578, 82.1103744506836, 74.80319213867188, 73.43895721435547, 85.65414428710938, 73.5539321899414]]"
mlp_local,10,"[[95.72455596923828, 105.65628814697266, 82.94889068603516, 106.81267547607422, 92.6141357421875, 95.67762756347656, 98.62841033935547, 95.90261840820312, 89.9342041015625, 100.06990814208984], [97.21681213378906, 110.25408935546875, 91.6294937133789, 92.980712890625, 106.1205825805664, 108.2165756225586, 99.13594055175781, 75.43545532226562, 96.26361083984375, 100.43893432617188], [105.42591857910156, 96.07349395751953, 112.65418243408203, 84.47368621826172, 96.56187438964844, 102.21268463134766, 104.13799285888672, 95.5135726928711, 102.73430633544922, 86.82575225830078], [96.1744384765625, 98.2714614868164, 92.39268493652344, 102.41654968261719, 92.79418182373047, 90.73316192626953, 84.37751007080078, 96.79510498046875, 74.1270980834961, 91.452392578125], [85.35259246826172, 97.15800476074219, 112.38463592529297, 89.32792663574219, 94.31187438964844, 86.38581085205078, 109.93914031982422, 100.44139862060547, 86.31916046142578, 96.26488494873047], [95.71206665039062, 99.91322326660156, 110.2252197265625, 113.45484161376953, 94.41444396972656, 94.16035461425781, 86.40535736083984, 109.5931625366211, 90.27073669433594, 121.5923843383789], [93.97309875488281, 96.15227508544922, 96.86558532714844, 109.56806945800781, 92.7593002319336, 98.81688690185547, 107.21756744384766, 102.40347290039062, 82.55442810058594, 97.44256591796875], [97.95484924316406, 97.33882141113281, 93.845947265625, 89.35626220703125, 97.82381439208984, 93.52372741699219, 91.38664245605469, 104.6234359741211, 92.2247314453125, 101.2005386352539], [96.93582153320312, 101.05303192138672, 94.04634094238281, 92.98210144042969, 105.02643585205078, 91.28536224365234, 102.04875946044922, 90.6613540649414, 93.69168853759766, 94.97354125976562], [97.1498794555664, 83.9052734375, 93.59569549560547, 96.22359466552734, 88.30614471435547, 89.29478454589844, 95.2471694946289, 93.9521255493164, 95.7742691040039, 85.00410461425781]]"
mlp_local,20,"[[60.71636199951172, 36.96786117553711, 26.048818588256836, 42.07179260253906, 45.99823760986328, 48.516380310058594, 53.49372863769531, 55.15696334838867, 38.94609451293945, 63.557395935058594], [31.775676727294922, 61.16897201538086, 37.01770782470703, 68.5456771850586, 49.3972282409668, 11.352988243103027, 55.40074157714844, 53.351531982421875, 33.663394927978516, 51.87156295776367], [29.329797744750977, 46.32554626464844, 37.09767532348633, 45.02384948730469, 47.51492691040039, 39.22330093383789, 44.59480667114258, 49.75641632080078, 48.40654754638672, 35.2308349609375], [61.3344612121582, 78.40748596191406, 62.8202018737793, 54.78626251220703, 83.29615783691406, 73.85172271728516, 56.15164566040039, 68.12216186523438, 66.6334228515625, 62.609493255615234], [51.97539138793945, 30.402694702148438, 64.2431869506836, 47.17814636230469, 67.45907592773438, 56.119686126708984, 60.23046875, 49.941123962402344, 52.47087097167969, 66.07582092285156], [56.005332946777344, 64.70327758789062, 59.30619812011719, 74.50366973876953, 78.53575134277344, 62.0789794921875, 51.43265914916992, 84.90115356445312, 70.61209106445312, 73.5618896484375], [95.95601654052734, 70.10179901123047, 71.46875762939453, 54.13694763183594, 68.94104766845703, 48.466121673583984, 46.31474304199219, 56.0677604675293, 83.08557891845703, 60.74039077758789], [32.90339279174805, 59.44109344482422, 46.018497467041016, 48.4631462097168, 62.85601043701172, 45.584842681884766, 42.61406707763672, 40.933921813964844, 22.223756790161133, 86.649658203125], [69.69268798828125, 67.5010757446289, 45.09212112426758, 73.49540710449219, 61.26808547973633, 66.01044464111328, 77.47816467285156, 59.308536529541016, 61.59292221069336, 42.036376953125], [48.83151626586914, 42.48396682739258, 55.38443374633789, 55.82440185546875, 37.60654830932617, 65.40153503417969, 48.821022033691406, 65.18733978271484, 60.81060028076172, 47.83296203613281]]"
mlp_global,5,"[[77.86869049072266, 77.34093475341797, 80.24189758300781, 74.87519836425781, 74.70669555664062, 80.02079010009766, 78.19264221191406, 75.39948272705078, 73.22059631347656, 79.95941162109375], [79.80300903320312, 71.2146224975586, 69.9742202758789, 76.73750305175781, 67.09541320800781, 73.60282135009766, 72.31643676757812, 72.63276672363281, 70.0949478149414, 74.97956085205078], [79.55339813232422, 76.5528335571289, 78.90259552001953, 81.19588470458984, 80.2746353149414, 73.404541015625, 66.36397552490234, 73.37183380126953, 77.75471496582031, 70.30255126953125], [70.80807495117188, 82.75724792480469, 79.72455596923828, 78.0806884765625, 67.9220199584961, 73.25576782226562, 72.64185333251953, 71.80241394042969, 71.63908386230469, 70.66834259033203], [67.31664276123047, 65.1142349243164, 74.499755859375, 58.2584114074707, 72.44264221191406, 80.08003234863281, 74.580322265625, 72.57598876953125, 65.44270324707031, 64.70096588134766], [81.09085083007812, 80.75312805175781, 83.64875030517578, 79.7686538696289, 73.57929992675781, 82.31904602050781, 83.67671966552734, 80.07388305664062, 73.1540756225586, 77.54739379882812], [74.80219268798828, 69.49380493164062, 74.25548553466797, 71.43379974365234, 74.31922912597656, 69.08866882324219, 68.66712188720703, 76.02001190185547, 74.53877258300781, 73.06608581542969], [73.4521713256836, 71.87935638427734, 76.01769256591797, 74.07752990722656, 70.29119110107422, 75.17298126220703, 69.89364624023438, 65.08761596679688, 70.77709197998047, 78.49124145507812], [73.7666244506836, 63.36515808105469, 65.86949157714844, 71.6784896850586, 76.36851501464844, 66.22753143310547, 76.42434692382812, 79.91954803466797, 63.070682525634766, 64.19325256347656], [79.15819549560547, 73.19784545898438, 76.276123046875, 73.75422668457031, 76.05937957763672, 80.49712371826172, 75.32597351074219, 80.55967712402344, 78.40675354003906, 80.42272186279297]]"
