strategy,agents,rewards
concat,5,"[[110.93096160888672, 101.5873031616211, 108.46472930908203, 97.91484069824219, 91.82141876220703, 104.55659484863281, 108.10843658447266, 99.47514343261719, 110.5693130493164, 106.64710235595703], [100.70796203613281, 110.19804382324219, 104.15127563476562, 107.31605529785156, 98.88395690917969, 101.7999267578125, 99.98275756835938, 100.19917297363281, 93.26087951660156, 93.6355209350586], [98.7152099609375, 99.81658172607422, 96.07063293457031, 98.66172790527344, 99.64900970458984, 103.30873107910156, 91.57260131835938, 92.70874786376953, 91.80481719970703, 90.68182373046875], [101.8725814819336, 100.25884246826172, 103.22801208496094, 105.3467025756836, 104.36236572265625, 107.33898162841797, 106.36702728271484, 100.9461441040039, 104.74441528320312, 100.05817413330078], [110.52688598632812, 101.04967498779297, 107.3320083618164, 112.30980682373047, 108.43077850341797, 110.58063507080078, 109.3472671508789, 110.59561157226562, 104.29364013671875, 108.3879165649414], [114.80593872070312, 114.37506866455078, 114.3845443725586, 112.8669662475586, 125.06002807617188, 106.89631652832031, 111.5508041381836, 117.87541961669922, 111.08210754394531, 111.45519256591797], [98.03256225585938, 89.71005249023438, 104.05573272705078, 98.36759185791016, 100.72865295410156, 100.66333770751953, 98.95665740966797, 94.71424865722656, 94.34799194335938, 94.6180191040039], [100.20545196533203, 94.15013122558594, 85.68743896484375, 96.8833999633789, 93.47660827636719, 90.09457397460938, 102.50735473632812, 102.05155944824219, 98.45462036132812, 93.18141174316406], [88.51143646240234, 91.1191635131836, 96.47710418701172, 103.62236022949219, 101.20538330078125, 99.39042663574219, 96.87001037597656, 95.05055236816406, 109.52235412597656, 102.18260192871094], [102.48660278320312, 98.51432800292969, 92.51856231689453, 94.46841430664062, 97.85637664794922, 88.22101593017578, 95.32697296142578, 85.87651824951172, 95.99549102783203, 95.14961242675781]]"
concat,6,"[[117.7460708618164, 113.3993911743164, 110.21394348144531, 97.78715515136719, 98.4375, 107.06005859375, 100.83161926269531, 102.27741241455078, 100.16984558105469, 113.1353530883789], [106.65681457519531, 108.32483673095703, 108.51272583007812, 115.0450439453125, 115.28292846679688, 105.75411987304688, 99.41560363769531, 106.56550598144531, 110.28857421875, 108.98704528808594], [107.49706268310547, 105.75125122070312, 106.43379211425781, 104.73890686035156, 105.16295623779297, 104.55593872070312, 94.35696411132812, 112.20016479492188, 100.6292953491211, 97.81002807617188], [89.65231323242188, 92.09388732910156, 96.52276611328125, 117.666015625, 112.24333953857422, 98.4447021484375, 103.92431640625, 106.03507232666016, 109.01117706298828, 109.17765045166016], [115.30848693847656, 103.7342758178711, 119.65154266357422, 101.43114471435547, 103.47686767578125, 118.07483673095703, 109.0943603515625, 105.6083755493164, 107.61734008789062, 115.43860626220703], [107.15567779541016, 111.12712860107422, 115.39332580566406, 112.49822998046875, 123.08439636230469, 113.94661712646484, 128.1408233642578, 112.53142547607422, 118.93264770507812, 109.5484390258789], [117.50138092041016, 94.54938507080078, 105.78335571289062, 99.06550598144531, 94.4848861694336, 98.95944213867188, 101.88740539550781, 104.32071685791016, 88.36643981933594, 103.23702239990234], [97.56829071044922, 87.61660766601562, 100.3348388671875, 117.66339874267578, 99.99832153320312, 98.59841918945312, 101.8379135131836, 95.01971435546875, 101.20403289794922, 104.40742492675781], [107.29782104492188, 103.98904418945312, 113.01290893554688, 92.71147918701172, 96.2070083618164, 86.49022674560547, 101.99649810791016, 99.35358428955078, 99.03973388671875, 107.1353759765625], [107.03229522705078, 101.39738464355469, 86.59587097167969, 101.86666870117188, 101.04325866699219, 99.90746307373047, 101.38809967041016, 89.7398681640625, 92.97479248046875, 88.41680908203125]]"
concat,10,"[[102.71077728271484, 94.96102905273438, 94.86798095703125, 101.55455780029297, 80.74503326416016, 88.03030395507812, 97.90494537353516, 93.9761962890625, 90.29647064208984, 93.0046615600586], [81.5302963256836, 88.49748992919922, 89.10874938964844, 104.33592224121094, 93.59266662597656, 99.72576904296875, 97.34547424316406, 90.21051788330078, 87.45526885986328, 100.27859497070312], [90.43510437011719, 101.48905944824219, 99.49376678466797, 92.35250091552734, 94.09402465820312, 100.26025390625, 99.0910415649414, 95.92153930664062, 84.17161560058594, 94.60608673095703], [101.82079315185547, 100.6374282836914, 100.94458770751953, 98.38321685791016, 104.40715789794922, 108.72260284423828, 104.39688873291016, 98.15340423583984, 97.95292663574219, 117.4195556640625], [95.71292877197266, 95.5339584350586, 94.52081298828125, 92.23262023925781, 96.61186981201172, 92.4054946899414, 83.77584838867188, 100.1082763671875, 93.07901763916016, 79.64518737792969], [97.99778747558594, 106.5519790649414, 64.44786834716797, 87.01811981201172, 92.64824676513672, 93.22907257080078, 70.49837493896484, 84.42994689941406, 76.89036560058594, 80.435546875], [90.25991821289062, 101.63887023925781, 94.55750274658203, 98.28723907470703, 96.17473602294922, 73.40533447265625, 84.208251953125, 93.2869644165039, 107.99674987792969, 71.86698913574219], [84.53402709960938, 101.31468963623047, 84.9891357421875, 90.5344009399414, 119.67552185058594, 84.38594818115234, 100.23992156982422, 99.8124771118164, 97.23578643798828, 103.57965850830078], [98.55778503417969, 83.09029388427734, 91.196044921875, 83.87041473388672, 103.21781158447266, 95.70576477050781, 91.03450775146484, 96.92507934570312, 96.06741333007812, 98.40570831298828], [94.71333312988281, 100.27729034423828, 94.55579376220703, 81.8842544555664, 105.45612335205078, 82.03457641601562, 93.05693054199219, 84.57247161865234, 106.80592346191406, 89.19120025634766]]"
concat,15,"[[86.7762451171875, 80.8558578491211, 64.36376953125, 107.47604370117188, 82.38053131103516, 75.44020080566406, 85.77204132080078, 79.64488983154297, 86.32235717773438, 82.30435943603516], [60.466522216796875, 54.18754959106445, 66.24491119384766, 83.16809844970703, 66.51081085205078, 72.0445785522461, 81.03260040283203, 66.4500961303711, 68.52423858642578, 84.72325897216797], [55.02799606323242, 87.04817199707031, 62.96614456176758, 102.93215942382812, 62.26350784301758, 80.23528289794922, 61.116580963134766, 78.59391021728516, 66.75313568115234, 76.08053588867188], [67.87593841552734, 42.58604431152344, 46.415428161621094, 58.59928512573242, 57.2286262512207, 55.3996467590332, 69.2995834350586, 66.00784301757812, 64.28436279296875, 77.56814575195312], [94.74760437011719, 70.14363098144531, 77.70016479492188, 91.52141571044922, 84.18602752685547, 90.8386459350586, 96.0511703491211, 94.64698028564453, 74.8919906616211, 77.22866821289062], [51.64603805541992, 53.243473052978516, 30.554527282714844, 33.223907470703125, 35.877037048339844, 42.61448669433594, 33.519466400146484, 47.46856689453125, 33.34956359863281, 27.95160675048828], [69.92271423339844, 59.10786437988281, 85.71324920654297, 60.218536376953125, 55.86507034301758, 56.053924560546875, 79.04171752929688, 38.35955047607422, 73.91471862792969, 57.915950775146484], [53.911293029785156, 53.992496490478516, 36.052886962890625, 38.14237976074219, 37.045711517333984, 42.10026931762695, 59.656917572021484, 25.03070831298828, 47.36383819580078, 35.56234359741211], [84.52342224121094, 94.83304595947266, 94.33882141113281, 94.05702209472656, 81.87718963623047, 77.25125122070312, 79.40171813964844, 92.70667266845703, 73.04762268066406, 93.47200775146484], [52.58078384399414, 50.87027359008789, 19.3136043548584, 59.57839584350586, 59.28234100341797, 49.96881103515625, 55.12199401855469, 55.5265007019043, 43.5772590637207, 35.25020217895508]]"
concat,20,"[[64.76677703857422, 80.17144012451172, 48.387451171875, 44.95494079589844, 61.94255065917969, 43.44746398925781, 75.79086303710938, 45.55455017089844, 81.68272399902344, 55.98681640625], [65.21934509277344, 92.53611755371094, 72.76055908203125, 56.23332214355469, 41.95847702026367, 64.34980773925781, 75.95540618896484, 74.4747543334961, 66.85079956054688, 61.67546844482422], [79.59272003173828, 60.802059173583984, 67.73039245605469, 79.65518188476562, 67.93350982666016, 67.0933837890625, 71.26382446289062, 79.76667785644531, 79.65275573730469, 66.53741455078125], [41.97548294067383, 40.51337814331055, 55.78325271606445, 52.75536346435547, 39.41866683959961, 51.23361587524414, 37.64329147338867, 39.330841064453125, 32.85616683959961, 39.16868209838867], [48.809505462646484, 68.95088195800781, 50.07872772216797, 60.351348876953125, 49.86285400390625, 46.13157653808594, 46.981163024902344, 49.24387741088867, 70.48355865478516, 65.95802307128906], [74.06316375732422, 52.6521110534668, 61.95222473144531, 68.12256622314453, 62.35404586791992, 60.0983772277832, 71.73027038574219, 54.99546813964844, 48.56819152832031, 47.74576950073242], [57.885704040527344, 58.48303985595703, 82.8350830078125, 59.24129104614258, 59.04572296142578, 70.2319564819336, 49.2746696472168, 50.037261962890625, 75.55519104003906, 50.04645538330078], [72.96302032470703, 62.993709564208984, 28.31239891052246, 75.15739440917969, 42.240272521972656, 40.68651580810547, 60.49873733520508, 61.96159362792969, 42.50553894042969, 69.21807098388672], [67.8935775756836, 67.03568267822266, 58.07645797729492, 57.301204681396484, 38.151206970214844, 59.60596466064453, 62.219051361083984, 71.60356903076172, 75.97174835205078, 63.745445251464844], [90.124755859375, 66.96891784667969, 65.08082580566406, 82.69973754882812, 76.105224609375, 82.67974090576172, 64.7057876586914, 97.92796325683594, 79.28634643554688, 85.30615997314453]]"
mlp,5,"[[118.06902313232422, 106.25479888916016, 108.46597290039062, 108.56576538085938, 110.66899871826172, 122.79889678955078, 124.09213256835938, 116.62908935546875, 112.73857116699219, 109.8035659790039], [99.92473602294922, 91.90576171875, 87.1630859375, 95.49029541015625, 93.6290512084961, 108.41541290283203, 90.64436340332031, 101.57373809814453, 98.06615447998047, 94.8221664428711], [106.54719543457031, 94.14349365234375, 93.81156158447266, 97.69129180908203, 99.30204772949219, 94.93588256835938, 85.3829345703125, 96.18938446044922, 93.79471588134766, 89.06169891357422], [98.82705688476562, 87.14712524414062, 102.368896484375, 97.58154296875, 100.03876495361328, 98.67720794677734, 90.23634338378906, 95.80842590332031, 99.4107894897461, 97.24828338623047], [84.36151885986328, 94.90851593017578, 94.66755676269531, 90.89730834960938, 97.15127563476562, 93.13263702392578, 100.38702392578125, 96.34152221679688, 92.73204803466797, 96.30218505859375], [105.6032943725586, 103.3001937866211, 106.5488510131836, 113.55120086669922, 112.23252868652344, 110.04247283935547, 120.02190399169922, 105.47062683105469, 115.12044525146484, 112.3753890991211], [103.17546081542969, 97.43010711669922, 101.4305191040039, 95.08613586425781, 100.36698150634766, 90.2469253540039, 109.04680633544922, 97.71826934814453, 88.31826782226562, 99.97651672363281], [98.58006286621094, 100.63296508789062, 104.37136840820312, 104.94013214111328, 88.84394836425781, 104.37289428710938, 98.19898986816406, 93.98159790039062, 94.41458129882812, 107.22042846679688], [109.79263305664062, 102.44529724121094, 91.68006134033203, 104.04981994628906, 98.44234466552734, 100.84257507324219, 96.37892150878906, 100.37306213378906, 101.04947662353516, 99.07646179199219], [102.09461212158203, 101.22676086425781, 99.52708435058594, 94.6165771484375, 98.07131958007812, 100.73426055908203, 82.09794616699219, 94.34684753417969, 99.11503601074219, 96.80266571044922]]"
mlp,6,"[[102.36248779296875, 121.73126983642578, 104.59151458740234, 110.10688018798828, 113.36631774902344, 118.85299682617188, 99.06088256835938, 117.81517028808594, 104.57099914550781, 109.16893768310547], [101.92259979248047, 100.3681411743164, 89.94937896728516, 100.78551483154297, 104.10852813720703, 102.40795135498047, 97.65150451660156, 91.31138610839844, 119.94544982910156, 94.25928497314453], [90.6899185180664, 96.00784301757812, 95.67760467529297, 105.18785095214844, 96.86927032470703, 89.68351745605469, 97.44084930419922, 96.33638000488281, 87.65270233154297, 108.48754119873047], [102.17851257324219, 95.63400268554688, 102.77579498291016, 100.53423309326172, 103.06946563720703, 99.42290496826172, 109.35770416259766, 98.3564224243164, 93.0426025390625, 109.31283569335938], [102.33255004882812, 96.5298843383789, 110.54597473144531, 99.42361450195312, 102.43830108642578, 96.84829711914062, 100.08782196044922, 107.01819610595703, 116.05949401855469, 107.70176696777344], [107.86864471435547, 104.16864013671875, 114.88111877441406, 113.6668701171875, 124.49165344238281, 120.04715728759766, 113.9916763305664, 128.55755615234375, 120.72573852539062, 108.37852478027344], [103.54960632324219, 98.7840805053711, 104.65802764892578, 105.33838653564453, 107.1871337890625, 109.22280883789062, 105.4544906616211, 115.46192169189453, 103.18855285644531, 101.67892456054688], [95.44066619873047, 108.84341430664062, 98.21422576904297, 105.15312194824219, 98.61572265625, 110.40526580810547, 111.04019927978516, 110.58537292480469, 99.56632995605469, 102.85226440429688], [102.79766845703125, 106.53081512451172, 106.50411224365234, 104.30938720703125, 108.8895492553711, 107.0186767578125, 105.82440185546875, 102.2801742553711, 97.46723175048828, 98.08279418945312], [99.9609146118164, 102.73023986816406, 96.52173614501953, 108.44804382324219, 102.97769165039062, 107.85950469970703, 99.45368194580078, 93.49560546875, 101.4149398803711, 108.55268096923828]]"
mlp,10,"[[81.84967041015625, 107.98249053955078, 86.20499420166016, 116.37911224365234, 84.08401489257812, 88.80924987792969, 111.37553405761719, 98.05933380126953, 76.41665649414062, 98.66693115234375], [96.87816619873047, 104.82029724121094, 98.2198715209961, 91.26677703857422, 95.82384490966797, 101.23892211914062, 95.23834991455078, 83.80665588378906, 85.26422119140625, 83.0858383178711], [87.77565002441406, 93.45792388916016, 101.02642059326172, 74.82833099365234, 92.21074676513672, 90.13288116455078, 102.01445007324219, 83.59292602539062, 98.80938720703125, 90.96475219726562], [85.32476043701172, 92.02275085449219, 84.70543670654297, 87.90437316894531, 77.53900909423828, 72.69697570800781, 74.1990737915039, 79.10650634765625, 74.87693786621094, 90.1059799194336], [74.06330871582031, 89.45610809326172, 102.04820251464844, 85.20437622070312, 93.20736694335938, 89.83418273925781, 91.53557586669922, 91.8200912475586, 90.0706558227539, 99.55799102783203], [92.68885040283203, 85.16848754882812, 101.71405029296875, 87.32485961914062, 89.68818664550781, 89.9898910522461, 89.13134002685547, 92.98359680175781, 100.88667297363281, 76.61347198486328], [83.29594421386719, 76.13883972167969, 91.70494079589844, 102.708251953125, 91.29676818847656, 101.62621307373047, 87.861083984375, 97.428955078125, 84.23058319091797, 91.74161529541016], [98.54525756835938, 95.59033966064453, 88.45124053955078, 86.84036254882812, 89.6859359741211, 92.30949401855469, 90.04340362548828, 83.38617706298828, 86.72154998779297, 88.54261016845703], [106.17662811279297, 97.91272735595703, 91.6679916381836, 94.1300048828125, 93.84197235107422, 106.89656829833984, 102.52333068847656, 84.2212905883789, 90.21424102783203, 80.98168182373047], [83.8666763305664, 81.23257446289062, 83.77478790283203, 110.21495056152344, 97.0669174194336, 97.02204132080078, 106.45794677734375, 108.78291320800781, 112.67646789550781, 100.02286529541016]]"
mlp,15,"[[74.04100799560547, 73.109619140625, 68.92952728271484, 71.40756225585938, 54.17888259887695, 89.44509887695312, 68.04025268554688, 67.57227325439453, 66.24114227294922, 74.11133575439453], [100.0663070678711, 75.95543670654297, 78.96060180664062, 94.03974914550781, 103.68892669677734, 71.410888671875, 81.23094940185547, 93.20194244384766, 94.248779296875, 86.39700317382812], [50.09354782104492, 54.81304931640625, 59.95289993286133, 39.4077262878418, 53.06187057495117, 44.88303756713867, 64.05793762207031, 66.04310607910156, 65.849365234375, 57.887054443359375], [26.772890090942383, 49.185672760009766, 55.96355056762695, 51.93867492675781, 53.129608154296875, 48.62157440185547, 45.253196716308594, 35.2978630065918, 56.87178039550781, 45.10153579711914], [88.08277130126953, 81.05209350585938, 78.209228515625, 85.99456024169922, 104.33531951904297, 83.08964538574219, 82.47663116455078, 88.32977294921875, 88.9355697631836, 86.95601654052734], [65.40336608886719, 90.22994995117188, 60.557106018066406, 81.0204849243164, 93.86186218261719, 89.21378326416016, 83.30339050292969, 72.24113464355469, 100.81800842285156, 74.5225830078125], [76.9822998046875, 54.792816162109375, 61.04877471923828, 59.818172454833984, 57.060543060302734, 55.0670166015625, 68.76665496826172, 79.3226318359375, 62.28700637817383, 60.752288818359375], [71.54290771484375, 59.644229888916016, 85.24913787841797, 74.29129028320312, 71.0457534790039, 91.26853942871094, 65.7920913696289, 68.07918548583984, 81.06300354003906, 82.38043212890625], [79.6396713256836, 77.95072937011719, 70.33507537841797, 44.93138885498047, 37.51249313354492, 74.32212829589844, 80.20220184326172, 81.75155639648438, 48.41354751586914, 66.6668701171875], [84.87247467041016, 64.3071517944336, 98.30487823486328, 72.79180908203125, 69.24906921386719, 72.74408721923828, 71.99388122558594, 72.90729522705078, 70.93026733398438, 99.82049560546875]]"
mlp,20,"[[40.699031829833984, 40.504974365234375, 31.458980560302734, 47.357200622558594, 50.53567123413086, 59.035911560058594, 41.96879577636719, 53.6968994140625, 33.31989669799805, 37.62489700317383], [30.58081817626953, 63.570987701416016, 46.78606033325195, 44.79564666748047, 51.65293502807617, 37.93102264404297, 55.4241943359375, 54.5706787109375, 51.731781005859375, 47.249664306640625], [42.507198333740234, 51.474971771240234, 72.40322875976562, 69.24202728271484, 70.63642883300781, 84.14173889160156, 50.02515411376953, 58.120521545410156, 76.54387664794922, 66.26457214355469], [5.634885311126709, 40.262508392333984, 29.408353805541992, 32.975345611572266, 22.84992218017578, 29.85430908203125, 34.47959899902344, 36.7670783996582, 19.535423278808594, 26.63862419128418], [45.96047592163086, 45.65818405151367, 55.69693374633789, 54.8762321472168, 53.39139175415039, 31.71273422241211, 74.29228210449219, 58.813865661621094, 55.60906219482422, 51.4424934387207], [36.35429763793945, 70.5971450805664, 44.85068893432617, 41.14691925048828, 52.039066314697266, 39.71246337890625, 70.23033905029297, 32.4655647277832, 39.16374969482422, 44.81784439086914], [54.74412155151367, 29.050275802612305, 24.109840393066406, 14.351245880126953, 34.065277099609375, 15.044915199279785, 20.971256256103516, 26.45648193359375, 38.407962799072266, 30.4388484954834], [33.103416442871094, 43.79160690307617, 49.74985122680664, 61.58509826660156, 53.953163146972656, 39.116947174072266, 37.58567428588867, 63.53697967529297, 50.62407302856445, 51.26299285888672], [79.72843933105469, 69.63397216796875, 89.25476837158203, 81.14643096923828, 79.35303497314453, 69.5423812866211, 79.16786193847656, 77.64453125, 57.751869201660156, 79.76876068115234], [40.71365737915039, 44.53522491455078, 49.84351348876953, 44.64592361450195, 47.45064926147461, 37.84941864013672, 50.90340805053711, 46.43795394897461, 63.387840270996094, 63.25362777709961]]"
