strategy,agents,rewards
concat,5,"[[4.686866283416748, 4.724365711212158, 4.535170078277588, 4.644596099853516, 5.042991638183594, 4.833763122558594, 4.538806438446045, 4.953260898590088, 4.652547359466553, 4.810354232788086], [4.7818217277526855, 4.441321849822998, 4.541000843048096, 4.872228622436523, 4.818138599395752, 4.580239295959473, 4.770150661468506, 4.988883972167969, 4.7494001388549805, 4.921640872955322], [4.802670478820801, 5.2161736488342285, 4.826871395111084, 4.984363555908203, 4.8155975341796875, 4.605783939361572, 4.721373081207275, 5.042259216308594, 4.920705318450928, 4.594174861907959], [4.803648471832275, 4.413300514221191, 5.190885066986084, 4.872337341308594, 4.992207050323486, 4.688448905944824, 4.830459117889404, 4.716164588928223, 4.571981430053711, 4.950150012969971], [4.739170551300049, 4.691323757171631, 4.88016939163208, 4.700199604034424, 4.548985004425049, 4.947841167449951, 4.56410026550293, 4.609952926635742, 4.609180450439453, 4.605170726776123], [5.057363033294678, 5.0126237869262695, 4.514351844787598, 4.92959451675415, 4.988710403442383, 5.001072883605957, 4.760270595550537, 4.9844279289245605, 5.065356731414795, 4.941798686981201], [4.958907604217529, 4.5913615226745605, 5.018675327301025, 4.7013726234436035, 4.932843208312988, 5.003746509552002, 4.986621856689453, 4.862701892852783, 4.640326499938965, 4.846794128417969], [4.741997718811035, 5.0131120681762695, 4.897362232208252, 4.771610736846924, 4.471133708953857, 4.694329261779785, 4.467805862426758, 4.837324619293213, 4.951285362243652, 4.511832237243652], [5.118592739105225, 4.498562812805176, 4.693964958190918, 4.505025386810303, 4.8096723556518555, 4.520350933074951, 4.973433971405029, 4.730569839477539, 4.8300628662109375, 4.892708778381348], [4.656431674957275, 5.118931293487549, 5.002387046813965, 4.8777666091918945, 4.749769687652588, 4.336179733276367, 4.800022602081299, 4.940561294555664, 4.6984968185424805, 4.855539798736572]]"
concat,6,"[[5.465700626373291, 5.771174907684326, 6.032872200012207, 5.547420501708984, 5.752296447753906, 5.710548400878906, 5.472256660461426, 5.4193830490112305, 5.108798027038574, 5.487468242645264], [5.565629959106445, 5.754306316375732, 5.5533952713012695, 5.5897417068481445, 5.759130954742432, 5.0757365226745605, 5.7683796882629395, 5.4160475730896, 5.797562599182129, 5.682208061218262], [5.6305108070373535, 5.870578289031982, 5.537076950073242, 5.609025955200195, 5.838092803955078, 5.675586700439453, 5.7185444831848145, 5.423582077026367, 5.753498077392578, 5.676987648010254], [5.408287048339844, 5.894131183624268, 5.469945430755615, 5.678399085998535, 5.704854488372803, 5.755159378051758, 5.651286602020264, 5.7613205909729, 5.679764747619629, 5.844752788543701], [5.834805488586426, 5.226906776428223, 5.208437919616699, 5.535227298736572, 5.317150115966797, 5.873173713684082, 5.111114025115967, 5.826996326446533, 5.810057163238525, 5.3247761726379395], [5.8296217918396, 5.721884727478027, 5.710017204284668, 5.5490288734436035, 5.519415378570557, 5.495301246643066, 5.756138801574707, 5.747866630554199, 5.564064025878906, 5.350118160247803], [5.501715660095215, 5.644146919250488, 5.879558563232422, 5.906597137451172, 5.709217548370361, 5.727334976196289, 5.693708419799805, 5.754852294921875, 5.793576240539551, 5.608006954193115], [5.570785045623779, 5.5938029289245605, 5.850245952606201, 5.5713324546813965, 5.950204849243164, 5.580326557159424, 5.414492607116699, 5.966646194458008, 5.710586071014404, 5.530534744262695], [5.759868621826172, 5.272282600402832, 5.485696792602539, 5.990777015686035, 5.399356365203857, 5.121178150177002, 5.750819683074951, 5.797550678253174, 5.593025207519531, 5.457610607147217], [5.225465774536133, 5.700517654418945, 5.576225280761719, 5.56322717666626, 5.365935802459717, 5.54843807220459, 5.395049571990967, 5.3871331214904785, 5.463115215301514, 5.800211429595947]]"
concat,10,"[[7.092019081115723, 7.893925666809082, 7.702524185180664, 8.315001487731934, 7.492824554443359, 7.405911445617676, 7.969750881195068, 7.882133960723877, 7.496850490570068, 7.808575630187988], [8.00567626953125, 8.148322105407715, 7.752346992492676, 8.135760307312012, 7.5004987716674805, 8.3731107711792, 8.3128662109375, 8.57193660736084, 7.922146797180176, 8.16859245300293], [8.767630577087402, 8.169548988342285, 8.24157428741455, 7.527243614196777, 7.5650105476379395, 7.4962849617004395, 8.237993240356445, 8.845088005065918, 8.039271354675293, 8.142548561096191], [7.295687675476074, 8.40039348602295, 8.487218856811523, 8.121370315551758, 8.110257148742676, 8.376953125, 8.215478897094727, 7.363861560821533, 8.45132827758789, 7.913044452667236], [7.5261311531066895, 6.846370220184326, 7.97554349899292, 7.381939888000488, 7.061173439025879, 8.465998649597168, 8.2489595413208, 7.4673590660095215, 8.054590225219727, 7.57574462890625], [8.548304557800293, 8.245420455932617, 8.032121658325195, 8.420452117919922, 8.058780670166016, 8.841283798217773, 7.871607303619385, 8.294264793395996, 8.319131851196289, 8.054258346557617], [8.524861335754395, 8.801977157592773, 8.734781265258789, 8.225533485412598, 8.059870719909668, 8.333343505859375, 8.72772216796875, 8.462355613708496, 8.450703620910645, 8.70937442779541], [8.38122844696045, 8.49007511138916, 8.328327178955078, 7.923739433288574, 8.25060749053955, 8.098226547241211, 8.025099754333496, 8.984633445739746, 7.688204765319824, 7.408754825592041], [8.382718086242676, 7.76277494430542, 7.854331016540527, 8.03032398223877, 8.29279613494873, 8.21063232421875, 8.028761863708496, 8.52495288848877, 8.169878959655762, 7.605165004730225], [8.443782806396484, 7.3829450607299805, 8.09122371673584, 7.563661098480225, 8.00500774383545, 7.822927951812744, 8.64538860321045, 7.694941520690918, 7.933794975280762, 8.26327133178711]]"
concat,15,"[[5.24314546585083, 6.739785194396973, 7.268899917602539, 6.604292392730713, 5.690598011016846, 8.4085111618042, 6.993503093719482, 7.2152814865112305, 6.137377738952637, 6.395445823669434], [8.32465934753418, 6.662461280822754, 6.916471004486084, 9.195475578308105, 7.329752445220947, 7.013556003570557, 6.922845363616943, 8.374653816223145, 6.809058666229248, 7.252283096313477], [9.687211036682129, 7.771917343139648, 8.251969337463379, 6.8304290771484375, 7.582588195800781, 7.584464073181152, 8.83544635772705, 8.176137924194336, 8.221345901489258, 6.798138618469238], [8.58260440826416, 6.190871238708496, 9.108280181884766, 7.587777614593506, 8.856025695800781, 7.847846508026123, 8.436219215393066, 7.327999591827393, 7.995215892791748, 8.134100914001465], [6.135376453399658, 7.577218055725098, 6.788654327392578, 7.625389575958252, 6.625635623931885, 6.953121185302734, 7.393423557281494, 8.276226997375488, 6.872494697570801, 7.048149585723877], [7.107433795928955, 7.81894588470459, 8.811856269836426, 7.720815658569336, 7.799911022186279, 8.341924667358398, 8.794255256652832, 7.0124311447143555, 8.717147827148438, 7.3480658531188965], [10.088802337646484, 10.411493301391602, 10.190299034118652, 10.093350410461426, 10.147432327270508, 9.98980712890625, 7.458690166473389, 10.770790100097656, 9.51535415649414, 9.610928535461426], [8.926004409790039, 6.786649703979492, 7.866798400878906, 10.04816722869873, 8.439016342163086, 8.00798511505127, 6.840362548828125, 8.217995643615723, 9.296428680419922, 7.091032028198242], [7.085345268249512, 8.812864303588867, 8.022921562194824, 8.281245231628418, 8.148785591125488, 8.736716270446777, 7.490880012512207, 7.3795647621154785, 8.304817199707031, 8.495206832885742], [8.905778884887695, 8.07494068145752, 9.073782920837402, 7.664191722869873, 7.852624416351318, 8.794538497924805, 8.29594898223877, 7.565661907196045, 7.041332244873047, 6.829944610595703]]"
concat,20,"[[-5.693370819091797, -5.514079570770264, -1.4065062999725342, -0.9961873292922974, -2.5105175971984863, -2.186441421508789, -1.2408103942871094, -1.710828423500061, 0.8143177032470703, 0.4543555676937103], [2.4639394283294678, 3.8698902130126953, 1.2642847299575806, 0.08035696297883987, 1.2684255838394165, 1.307213544845581, 0.684116542339325, 0.513760507106781, -3.712437629699707, 1.5782508850097656], [0.217288076877594, -3.6272132396698, 0.9670423269271851, -1.2216001749038696, 0.9401207566261292, 1.3583650588989258, 2.259408473968506, 3.7126758098602295, 4.288151741027832, 1.1247413158416748], [3.248875617980957, 2.251631736755371, 2.287402868270874, 1.9537534713745117, 1.9924618005752563, 1.9849576950073242, 3.060512065887451, 2.888962507247925, 0.4079386293888092, 2.5172550678253174], [-1.2995420694351196, -1.2095645666122437, -1.804555892944336, -5.934525966644287, 3.4233341217041016, -0.43287739157676697, -1.654022455215454, 0.1013500913977623, -1.1891040802001953, -0.4278201758861542], [1.1149340867996216, 2.473287343978882, 3.1420114040374756, 3.2089710235595703, 1.3454360961914062, 3.6393661499023438, -0.06286987662315369, -0.7401329278945923, 1.9938308000564575, -0.4859812557697296], [5.1327104568481445, 7.951026439666748, 6.549237251281738, 5.210643291473389, 5.662916660308838, 3.3711936473846436, 5.668561935424805, 8.067323684692383, 4.821290493011475, 6.270159721374512], [4.299722194671631, 2.7830753326416016, -2.953247547149658, 1.8350563049316406, 1.389763593673706, -0.9454741477966309, -1.1271940469741821, 3.0204126834869385, 0.8647004961967468, 2.619422435760498], [2.6512112617492676, 1.6221352815628052, 1.1893792152404785, 2.297757863998413, 0.10722272098064423, 0.34567147493362427, 1.0556573867797852, 2.8186051845550537, 1.735319972038269, 4.325139045715332], [3.6957321166992188, 1.920983910560608, 3.0839717388153076, 0.05853375792503357, -1.4578458070755005, 1.5433658361434937, 3.607675075531006, 0.5075525641441345, 3.3321850299835205, 3.0221362113952637]]"
mlp,5,"[[4.598733901977539, 4.800687789916992, 4.4991607666015625, 4.830551624298096, 4.881670951843262, 4.6788458824157715, 4.629333019256592, 4.67645263671875, 4.793914318084717, 4.538209915161133], [4.664355278015137, 4.788730144500732, 5.0109429359436035, 4.944548606872559, 4.68441915512085, 4.986149311065674, 4.721945285797119, 4.746222496032715, 4.714454650878906, 4.813633441925049], [4.122405529022217, 4.155147075653076, 4.310663223266602, 4.418157577514648, 4.2759809494018555, 4.316020488739014, 4.510078430175781, 4.000537395477295, 4.078803539276123, 4.352208137512207], [4.363594055175781, 4.703494548797607, 4.662915229797363, 4.644809246063232, 4.413644313812256, 4.759044170379639, 4.45652437210083, 4.3175506591796875, 4.451898574829102, 4.652574062347412], [4.9819512367248535, 4.822335243225098, 4.526832103729248, 4.294586658477783, 4.712114334106445, 4.909684181213379, 4.733341217041016, 4.730556011199951, 4.8229570388793945, 4.591046333312988], [4.530717849731445, 4.800172328948975, 4.551529407501221, 5.064424991607666, 4.632553577423096, 4.456865310668945, 4.623795509338379, 5.060809135437012, 4.672158718109131, 4.672186374664307], [3.7946369647979736, 4.1391377449035645, 4.359580039978027, 4.244377136230469, 4.077860355377197, 4.185148239135742, 4.127023696899414, 4.094937801361084, 4.134838104248047, 4.120099067687988], [4.452438831329346, 4.445712566375732, 4.445291042327881, 4.557677268981934, 4.359168529510498, 4.396306037902832, 4.410387992858887, 4.563237190246582, 4.40914249420166, 4.464007377624512], [3.258686065673828, 3.5753955841064453, 3.5975728034973145, 3.476229667663574, 3.641793966293335, 3.5486414432525635, 3.6501095294952393, 3.5061564445495605, 3.4751367568969727, 3.3508639335632324], [4.555906772613525, 4.000572681427002, 4.665672779083252, 4.242558479309082, 4.235442161560059, 4.148338317871094, 4.365701675415039, 4.345757007598877, 4.4242634773254395, 4.350069046020508]]"
mlp,6,"[[5.652092933654785, 5.432797431945801, 5.55574893951416, 5.604102611541748, 5.5619354248046875, 5.7874627113342285, 5.562299728393555, 5.645992755889893, 5.850180625915527, 5.390552043914795], [5.899515628814697, 5.490113735198975, 5.356462478637695, 6.004177570343018, 5.783405780792236, 5.7394185066223145, 5.420507907867432, 5.843753337860107, 5.84285831451416, 5.313789367675781], [5.00118350982666, 5.314008712768555, 5.124102592468262, 5.31019401550293, 5.277350425720215, 4.875316143035889, 4.8476457595825195, 5.078075408935547, 4.854489326477051, 5.154165744781494], [5.814066410064697, 5.308059215545654, 5.149148941040039, 5.722614765167236, 5.413541316986084, 5.499879837036133, 5.29282283782959, 5.251527786254883, 5.549269676208496, 5.463667869567871], [5.6343817710876465, 5.626429080963135, 5.640986919403076, 5.6704792976379395, 5.640644550323486, 5.2181901931762695, 5.562320709228516, 5.513883590698242, 5.881670951843262, 5.498309135437012], [5.481643199920654, 5.766713619232178, 5.486904144287109, 5.411025047302246, 5.523621082305908, 5.199693202972412, 5.494234085083008, 5.496090888977051, 5.765919208526611, 5.690646648406982], [5.1656012535095215, 4.668278694152832, 4.699610233306885, 4.511359214782715, 4.484896659851074, 5.039032459259033, 4.890185356140137, 4.695223808288574, 5.065741539001465, 4.927670001983643], [5.297488212585449, 4.939458847045898, 4.89154052734375, 4.822153091430664, 4.746170997619629, 5.002224445343018, 5.328070640563965, 5.2327446937561035, 5.156370639801025, 5.541842937469482], [4.014678955078125, 4.030883312225342, 4.071918964385986, 4.065433502197266, 4.0542449951171875, 3.835951089859009, 4.186174392700195, 4.092325687408447, 3.8946423530578613, 3.8918511867523193], [5.387985706329346, 4.802803993225098, 4.9249138832092285, 4.924438953399658, 5.324241638183594, 5.17673921585083, 5.04615592956543, 5.213587284088135, 5.314862251281738, 5.2950825691223145]]"
mlp,10,"[[8.65599250793457, 8.260162353515625, 8.82403564453125, 8.431719779968262, 8.610321044921875, 8.413808822631836, 8.419995307922363, 8.89031982421875, 8.785298347473145, 8.739665031433105], [8.448250770568848, 8.813756942749023, 8.871914863586426, 8.450273513793945, 8.962103843688965, 8.170294761657715, 8.83275318145752, 8.633371353149414, 8.643794059753418, 7.882050037384033], [7.863394260406494, 7.385257244110107, 7.541618824005127, 7.6557769775390625, 7.628396034240723, 7.666790962219238, 7.4609880447387695, 7.536037445068359, 7.410136699676514, 7.883002281188965], [8.470198631286621, 7.874055862426758, 8.426081657409668, 8.307872772216797, 8.315608978271484, 8.427186012268066, 8.140527725219727, 7.578244686126709, 7.429030895233154, 7.8015875816345215], [8.034497261047363, 8.631301879882812, 7.7342400550842285, 8.109206199645996, 8.24752140045166, 8.198192596435547, 7.789809703826904, 7.469012260437012, 8.505154609680176, 8.263592720031738], [7.857666015625, 7.991556644439697, 8.042230606079102, 7.994957447052002, 7.780453205108643, 7.674108028411865, 8.273725509643555, 7.633580684661865, 8.464518547058105, 8.681927680969238], [6.924886226654053, 7.233550548553467, 6.5948357582092285, 7.13987398147583, 7.079665660858154, 6.711097240447998, 7.033077716827393, 6.9692864418029785, 7.2218017578125, 7.394628047943115], [7.0071492195129395, 7.271265506744385, 6.650000095367432, 7.692509174346924, 7.741949081420898, 7.50668478012085, 7.806861877441406, 6.894806385040283, 7.07534646987915, 7.598778247833252], [5.673194408416748, 5.863036632537842, 4.828681468963623, 6.124850273132324, 5.6923041343688965, 5.958202362060547, 5.416722774505615, 4.633011817932129, 5.512835502624512, 5.661011695861816], [7.846644878387451, 7.489536285400391, 7.690718650817871, 7.366897106170654, 7.229998588562012, 7.362513065338135, 7.593522071838379, 6.716378688812256, 7.550746440887451, 7.389195919036865]]"
mlp,15,"[[10.539751052856445, 8.222268104553223, 9.236465454101562, 8.352910995483398, 10.014091491699219, 10.188467979431152, 8.642623901367188, 9.209253311157227, 10.296271324157715, 10.128324508666992], [10.054679870605469, 8.970076560974121, 9.941927909851074, 9.650322914123535, 10.379145622253418, 9.18067741394043, 8.317797660827637, 9.420135498046875, 9.075078964233398, 8.535075187683105], [6.416215419769287, 7.790778636932373, 8.701448440551758, 7.881490230560303, 8.054283142089844, 9.221776962280273, 8.331439018249512, 6.963170528411865, 8.281194686889648, 8.113959312438965], [8.823284149169922, 8.431029319763184, 8.992664337158203, 7.950099945068359, 9.681489944458008, 8.43764591217041, 8.841437339782715, 7.873081684112549, 10.441018104553223, 8.466636657714844], [10.005934715270996, 8.464751243591309, 7.4133782386779785, 8.90342903137207, 9.771353721618652, 8.634027481079102, 8.473970413208008, 8.304713249206543, 8.8202486038208, 8.605669021606445], [8.300434112548828, 8.25393009185791, 8.376537322998047, 7.391574859619141, 8.66043758392334, 7.775704860687256, 8.091043472290039, 6.7867913246154785, 7.895073890686035, 8.69618034362793], [7.797131061553955, 7.592635154724121, 7.828271389007568, 8.037501335144043, 7.00050163269043, 7.423099994659424, 7.873630046844482, 7.571305274963379, 8.091018676757812, 8.412740707397461], [7.365489959716797, 7.326806545257568, 8.501330375671387, 7.215641498565674, 5.742791652679443, 6.468255519866943, 8.052392959594727, 7.83154821395874, 5.493105411529541, 7.768873691558838], [2.738090753555298, 2.8245084285736084, 2.57605242729187, 2.8393349647521973, 2.9418601989746094, 2.4762978553771973, 1.602462649345398, 3.3154892921447754, 4.389103889465332, 3.7916290760040283], [7.649327278137207, 8.512812614440918, 8.014650344848633, 7.733577251434326, 7.592536449432373, 6.9187469482421875, 6.806674957275391, 7.170923709869385, 6.388084888458252, 8.372529983520508]]"
mlp,20,"[[6.67243766784668, 6.050775527954102, 5.712009906768799, 6.3094892501831055, 4.7372727394104, 4.9673027992248535, 6.6812238693237305, 5.15864372253418, 5.69143009185791, 5.703756809234619], [5.1750807762146, 4.308045864105225, 6.901389122009277, 6.002808094024658, 4.44992208480835, 5.337341785430908, 7.354296684265137, 6.805288314819336, 3.1598966121673584, 7.9396209716796875], [4.138200759887695, 3.5111091136932373, 4.911946773529053, 6.094826698303223, 3.7063703536987305, 3.4590539932250977, 4.513736724853516, 5.254751682281494, 5.655506134033203, 3.6281237602233887], [5.84128999710083, 2.2455224990844727, 4.786672592163086, 0.8862804174423218, 3.3004212379455566, 4.842291355133057, 2.1974234580993652, 6.028435230255127, 2.3683812618255615, 4.4087605476379395], [2.061206340789795, 6.184297561645508, 6.845974922180176, 2.8895020484924316, 5.255151271820068, 6.613300800323486, 3.606776475906372, 4.098406791687012, 3.482501745223999, 3.7134318351745605], [2.8020060062408447, -1.915483832359314, -1.4446642398834229, 0.23355720937252045, 2.2689411640167236, 3.7347359657287598, 0.27629271149635315, 2.1841585636138916, 1.6095166206359863, 2.208601951599121], [2.2663304805755615, 1.5615841150283813, 3.3551554679870605, 2.515259265899658, 5.345454216003418, -1.0250986814498901, 0.5272274017333984, 2.0517499446868896, 2.875793933868408, 2.3806207180023193], [0.5029284358024597, -0.8177003264427185, 2.885248899459839, 0.13886167109012604, 1.549504041671753, -0.6750913858413696, 1.4779101610183716, -1.3054410219192505, 0.5281814336776733, -3.270972967147827], [-9.768712997436523, -7.036184787750244, -8.102005004882812, -8.19269847869873, -3.168771266937256, -10.261626243591309, -5.47402811050415, -5.129049301147461, -7.880222797393799, -8.247488021850586], [-0.8090819716453552, 1.552175521850586, 1.5866397619247437, -0.5268599390983582, -2.3918745517730713, -0.8300169110298157, 2.0638816356658936, -0.9957930445671082, -1.787554144859314, -0.8060818314552307]]"
