name,config,kpi
concat,"PPOConfig: {'scenario_name': 'balance', 'strategy': <EmbeddingStrategy.CONCAT: 'concat'>, 'n_agents': 5, 'decentralized_execution': True, 'frames_per_batch': 6000, 'n_iters': 3, 'num_epochs': 8, 'minibatch_size': 400, 'lr': 0.0003, 'max_grad_norm': 1.0, 'clip_epsilon': 0.2, 'gamma': 0.99, 'lmbda': 0.9, 'entropy_eps': 0.0001, 'max_steps': 200, 'embedding_depth': 2, 'embedding_num_cells': None, 'hidden_layer_width': 48, 'use_encoder_mlp': True, 'attention_heads': 2, 'model_dim': 32, 'max_agents': 10, 'inducing_points': 4, 'mlp_core_depth': 2, 'mlp_core_num_cells': 64, 'pooling_method': 'mean', 'embedding_mlp_critic': None, 'embedding_mlp_actor': None, 'core_mlp_actor': None, 'core_mlp_critic': None, 'profile': False, 'use_strategy_defaults': True}","{'inference_time': 0.00040291421976520786, 'inference_memory_usage': 0.0, 'loss': [3.482083340485891, 3.134779393672943, 3.354173368215561], 'mean_rewards': [-10.53451919555664, -8.474261283874512, -8.995226860046387], 'training_memory_usage': 0.0, 'training_time': 1.6512200832366943, 'flops': 37.64, 'parameters': 18.82}"
concat,"PPOConfig: {'scenario_name': 'balance', 'strategy': <EmbeddingStrategy.CONCAT: 'concat'>, 'n_agents': 5, 'decentralized_execution': True, 'frames_per_batch': 6000, 'n_iters': 3, 'num_epochs': 8, 'minibatch_size': 400, 'lr': 0.0003, 'max_grad_norm': 1.0, 'clip_epsilon': 0.2, 'gamma': 0.99, 'lmbda': 0.9, 'entropy_eps': 0.0001, 'max_steps': 200, 'embedding_depth': 2, 'embedding_num_cells': None, 'hidden_layer_width': 48, 'use_encoder_mlp': True, 'attention_heads': 2, 'model_dim': 32, 'max_agents': 10, 'inducing_points': 4, 'mlp_core_depth': 2, 'mlp_core_num_cells': 64, 'pooling_method': 'mean', 'embedding_mlp_critic': None, 'embedding_mlp_actor': None, 'core_mlp_actor': None, 'core_mlp_critic': None, 'profile': False, 'use_strategy_defaults': True}","{'inference_time': 0.00042481757887643785, 'inference_memory_usage': 0.0, 'loss': [3.313862375418345, 3.619937260945638, 3.3596813162167867], 'mean_rewards': [-9.803462982177734, -10.529375076293945, -9.900103569030762], 'training_memory_usage': 0.0, 'training_time': 1.7562777996063232, 'flops': 37.64, 'parameters': 18.82}"
concat,"PPOConfig: {'scenario_name': 'balance', 'strategy': <EmbeddingStrategy.CONCAT: 'concat'>, 'n_agents': 5, 'decentralized_execution': True, 'frames_per_batch': 6000, 'n_iters': 3, 'num_epochs': 8, 'minibatch_size': 400, 'lr': 0.0003, 'max_grad_norm': 1.0, 'clip_epsilon': 0.2, 'gamma': 0.99, 'lmbda': 0.9, 'entropy_eps': 0.0001, 'max_steps': 200, 'embedding_depth': 2, 'embedding_num_cells': None, 'hidden_layer_width': 48, 'use_encoder_mlp': True, 'attention_heads': 2, 'model_dim': 32, 'max_agents': 10, 'inducing_points': 4, 'mlp_core_depth': 2, 'mlp_core_num_cells': 64, 'pooling_method': 'mean', 'embedding_mlp_critic': None, 'embedding_mlp_actor': None, 'core_mlp_actor': None, 'core_mlp_critic': None, 'profile': False, 'use_strategy_defaults': True}","{'inference_time': 0.0008881595266524272, 'inference_memory_usage': 0.0, 'loss': [3.6036991854508718, 3.3949943403402965, 3.396553377310435], 'mean_rewards': [-10.554715156555176, -9.286498069763184, -9.400866508483887], 'training_memory_usage': 0.0, 'training_time': 2.1758406162261963, 'flops': 37.64, 'parameters': 18.82}"
concat,"PPOConfig: {'scenario_name': 'balance', 'strategy': <EmbeddingStrategy.CONCAT: 'concat'>, 'n_agents': 5, 'decentralized_execution': True, 'frames_per_batch': 6000, 'n_iters': 3, 'num_epochs': 8, 'minibatch_size': 400, 'lr': 0.0003, 'max_grad_norm': 1.0, 'clip_epsilon': 0.2, 'gamma': 0.99, 'lmbda': 0.9, 'entropy_eps': 0.0001, 'max_steps': 200, 'embedding_depth': 2, 'embedding_num_cells': None, 'hidden_layer_width': 48, 'use_encoder_mlp': True, 'attention_heads': 2, 'model_dim': 32, 'max_agents': 10, 'inducing_points': 4, 'mlp_core_depth': 2, 'mlp_core_num_cells': 64, 'pooling_method': 'mean', 'embedding_mlp_critic': None, 'embedding_mlp_actor': None, 'core_mlp_actor': None, 'core_mlp_critic': None, 'profile': False, 'use_strategy_defaults': True}","{'inference_time': 0.00047513108756673994, 'inference_memory_usage': 0.0, 'loss': [2.9664272566636405, 2.6126204272111258, 2.859821399052938], 'mean_rewards': [-7.5272369384765625, -4.29166316986084, -8.033843040466309], 'training_memory_usage': 0.0, 'training_time': 1.8679571151733398, 'flops': 37.64, 'parameters': 18.82}"
concat,"PPOConfig: {'scenario_name': 'balance', 'strategy': <EmbeddingStrategy.CONCAT: 'concat'>, 'n_agents': 5, 'decentralized_execution': True, 'frames_per_batch': 6000, 'n_iters': 3, 'num_epochs': 8, 'minibatch_size': 400, 'lr': 0.0003, 'max_grad_norm': 1.0, 'clip_epsilon': 0.2, 'gamma': 0.99, 'lmbda': 0.9, 'entropy_eps': 0.0001, 'max_steps': 200, 'embedding_depth': 2, 'embedding_num_cells': None, 'hidden_layer_width': 48, 'use_encoder_mlp': True, 'attention_heads': 2, 'model_dim': 32, 'max_agents': 10, 'inducing_points': 4, 'mlp_core_depth': 2, 'mlp_core_num_cells': 64, 'pooling_method': 'mean', 'embedding_mlp_critic': None, 'embedding_mlp_actor': None, 'core_mlp_actor': None, 'core_mlp_critic': None, 'profile': False, 'use_strategy_defaults': True}","{'inference_time': 0.0011105920801210644, 'inference_memory_usage': 0.0, 'loss': [3.5926713864008586, 3.336680241425832, 2.9893032113711038], 'mean_rewards': [-11.88803482055664, -10.991024017333984, -8.364935874938965], 'training_memory_usage': 0.0, 'training_time': 2.0696825981140137, 'flops': 37.64, 'parameters': 18.82}"
concat,"PPOConfig: {'scenario_name': 'balance', 'strategy': <EmbeddingStrategy.CONCAT: 'concat'>, 'n_agents': 5, 'decentralized_execution': True, 'frames_per_batch': 6000, 'n_iters': 3, 'num_epochs': 8, 'minibatch_size': 400, 'lr': 0.0003, 'max_grad_norm': 1.0, 'clip_epsilon': 0.2, 'gamma': 0.99, 'lmbda': 0.9, 'entropy_eps': 0.0001, 'max_steps': 200, 'embedding_depth': 2, 'embedding_num_cells': None, 'hidden_layer_width': 48, 'use_encoder_mlp': True, 'attention_heads': 2, 'model_dim': 32, 'max_agents': 10, 'inducing_points': 4, 'mlp_core_depth': 2, 'mlp_core_num_cells': 64, 'pooling_method': 'mean', 'embedding_mlp_critic': None, 'embedding_mlp_actor': None, 'core_mlp_actor': None, 'core_mlp_critic': None, 'profile': False, 'use_strategy_defaults': True}","{'inference_time': 0.0006792581261102878, 'inference_memory_usage': 0.0, 'loss': [3.6090958694616955, 3.6388141830762226, 3.447661191225052], 'mean_rewards': [-11.720398902893066, -12.128155708312988, -11.543831825256348], 'training_memory_usage': 0.0, 'training_time': 2.3835906982421875, 'flops': 37.64, 'parameters': 18.82}"
concat,"PPOConfig: {'scenario_name': 'balance', 'strategy': <EmbeddingStrategy.CONCAT: 'concat'>, 'n_agents': 5, 'decentralized_execution': True, 'frames_per_batch': 6000, 'n_iters': 3, 'num_epochs': 8, 'minibatch_size': 400, 'lr': 0.0003, 'max_grad_norm': 1.0, 'clip_epsilon': 0.2, 'gamma': 0.99, 'lmbda': 0.9, 'entropy_eps': 0.0001, 'max_steps': 200, 'embedding_depth': 2, 'embedding_num_cells': None, 'hidden_layer_width': 48, 'use_encoder_mlp': True, 'attention_heads': 2, 'model_dim': 32, 'max_agents': 10, 'inducing_points': 4, 'mlp_core_depth': 2, 'mlp_core_num_cells': 64, 'pooling_method': 'mean', 'embedding_mlp_critic': None, 'embedding_mlp_actor': None, 'core_mlp_actor': None, 'core_mlp_critic': None, 'profile': False, 'use_strategy_defaults': True}","{'inference_time': 0.0005399677621659322, 'inference_memory_usage': 0.0, 'loss': [3.135693927605947, 3.244840453068415, 2.9314786891142526], 'mean_rewards': [-8.858071327209473, -9.531147003173828, -8.13355541229248], 'training_memory_usage': 0.0, 'training_time': 2.4085328578948975, 'flops': 37.64, 'parameters': 18.82}"
concat,"PPOConfig: {'scenario_name': 'balance', 'strategy': <EmbeddingStrategy.CONCAT: 'concat'>, 'n_agents': 5, 'decentralized_execution': True, 'frames_per_batch': 6000, 'n_iters': 3, 'num_epochs': 8, 'minibatch_size': 400, 'lr': 0.0003, 'max_grad_norm': 1.0, 'clip_epsilon': 0.2, 'gamma': 0.99, 'lmbda': 0.9, 'entropy_eps': 0.0001, 'max_steps': 200, 'embedding_depth': 2, 'embedding_num_cells': None, 'hidden_layer_width': 48, 'use_encoder_mlp': True, 'attention_heads': 2, 'model_dim': 32, 'max_agents': 10, 'inducing_points': 4, 'mlp_core_depth': 2, 'mlp_core_num_cells': 64, 'pooling_method': 'mean', 'embedding_mlp_critic': None, 'embedding_mlp_actor': None, 'core_mlp_actor': None, 'core_mlp_critic': None, 'profile': False, 'use_strategy_defaults': True}","{'inference_time': 0.0006510660276940121, 'inference_memory_usage': 0.0, 'loss': [4.036740684509278, 4.053098245461782, 3.318634217977524], 'mean_rewards': [-12.767542839050293, -13.144840240478516, -11.508865356445312], 'training_memory_usage': 0.0, 'training_time': 2.613659143447876, 'flops': 37.64, 'parameters': 18.82}"
concat,"PPOConfig: {'scenario_name': 'balance', 'strategy': <EmbeddingStrategy.CONCAT: 'concat'>, 'n_agents': 5, 'decentralized_execution': True, 'frames_per_batch': 6000, 'n_iters': 3, 'num_epochs': 8, 'minibatch_size': 400, 'lr': 0.0003, 'max_grad_norm': 1.0, 'clip_epsilon': 0.2, 'gamma': 0.99, 'lmbda': 0.9, 'entropy_eps': 0.0001, 'max_steps': 200, 'embedding_depth': 2, 'embedding_num_cells': None, 'hidden_layer_width': 48, 'use_encoder_mlp': True, 'attention_heads': 2, 'model_dim': 32, 'max_agents': 10, 'inducing_points': 4, 'mlp_core_depth': 2, 'mlp_core_num_cells': 64, 'pooling_method': 'mean', 'embedding_mlp_critic': None, 'embedding_mlp_actor': None, 'core_mlp_actor': None, 'core_mlp_critic': None, 'profile': False, 'use_strategy_defaults': True}","{'inference_time': 0.0005435715967686332, 'inference_memory_usage': 0.0, 'loss': [3.1062877138455707, 2.8290290892124177, 2.7811508039633432], 'mean_rewards': [-7.958077430725098, -5.797116756439209, -5.420444011688232], 'training_memory_usage': 0.0, 'training_time': 2.1875853538513184, 'flops': 37.64, 'parameters': 18.82}"
concat,"PPOConfig: {'scenario_name': 'balance', 'strategy': <EmbeddingStrategy.CONCAT: 'concat'>, 'n_agents': 5, 'decentralized_execution': True, 'frames_per_batch': 6000, 'n_iters': 3, 'num_epochs': 8, 'minibatch_size': 400, 'lr': 0.0003, 'max_grad_norm': 1.0, 'clip_epsilon': 0.2, 'gamma': 0.99, 'lmbda': 0.9, 'entropy_eps': 0.0001, 'max_steps': 200, 'embedding_depth': 2, 'embedding_num_cells': None, 'hidden_layer_width': 48, 'use_encoder_mlp': True, 'attention_heads': 2, 'model_dim': 32, 'max_agents': 10, 'inducing_points': 4, 'mlp_core_depth': 2, 'mlp_core_num_cells': 64, 'pooling_method': 'mean', 'embedding_mlp_critic': None, 'embedding_mlp_actor': None, 'core_mlp_actor': None, 'core_mlp_critic': None, 'profile': False, 'use_strategy_defaults': True}","{'inference_time': 0.000539825190251796, 'inference_memory_usage': 0.0, 'loss': [3.0886805017789203, 3.137865626811981, 3.178738367557526], 'mean_rewards': [-8.140893936157227, -8.574359893798828, -9.00652027130127], 'training_memory_usage': 0.0, 'training_time': 2.1788880825042725, 'flops': 37.64, 'parameters': 18.82}"
