strategy,agents,rewards
concat,5,"[73.91093444824219, 73.36188507080078, 76.18700408935547, 67.81478881835938, 73.65127563476562, 75.60382843017578, 69.89592742919922, 74.12118530273438, 72.65536499023438, 75.15397644042969]"
concat,10,"[99.81874084472656, 92.75180053710938, 93.825927734375, 93.47837829589844, 94.00640869140625, 94.01685333251953, 98.77886962890625, 91.44651794433594, 84.6341552734375, 97.68933868408203]"
concat,20,"[39.13227462768555, 55.06214904785156, 57.19927215576172, 41.6517448425293, 49.63083267211914, 47.62571716308594, 48.4818000793457, 40.79079055786133, 43.38957214355469, 48.894412994384766]"
mlp,5,"[105.1374282836914, 99.64122009277344, 106.63052368164062, 94.20447540283203, 99.1190185546875, 103.05795288085938, 102.70850372314453, 97.85769653320312, 103.61396789550781, 105.83328247070312]"
mlp,10,"[104.01419830322266, 96.84558868408203, 111.28482055664062, 85.8331527709961, 116.01862335205078, 85.42525482177734, 95.75605773925781, 100.96180725097656, 106.71725463867188, 107.20992279052734]"
mlp,20,"[65.68494415283203, 43.86649703979492, 44.019657135009766, 39.850730895996094, 98.6940689086914, 61.562255859375, 71.37208557128906, 69.60334014892578, 52.842716217041016, 46.355587005615234]"
mlp_local,5,"[103.34331512451172, 99.15190124511719, 88.21211242675781, 92.33269500732422, 109.4955062866211, 101.18031311035156, 97.61439514160156, 97.72022247314453, 102.3781967163086, 102.26727294921875]"
mlp_local,10,"[113.95372772216797, 114.9261474609375, 123.8697280883789, 104.51005554199219, 103.97872924804688, 126.92609405517578, 112.95057678222656, 116.01737213134766, 123.55964660644531, 119.83856201171875]"
mlp_local,20,"[84.3285903930664, 58.351951599121094, 81.05162811279297, 75.59207153320312, 83.21261596679688, 87.06784057617188, 79.6976547241211, 78.96702575683594, 70.84909057617188, 32.76780319213867]"
mlp_global,5,"[93.239013671875, 91.93994140625, 96.58491516113281, 95.47769165039062, 91.71137237548828, 99.13214111328125, 99.27803039550781, 91.04290008544922, 94.89105224609375, 92.62789916992188]"
mlp_global,10,"[93.7168197631836, 100.51121520996094, 97.24018859863281, 105.00277709960938, 94.2392578125, 97.7104263305664, 99.78834533691406, 99.59386444091797, 96.89158630371094, 102.61211395263672]"
mlp_global,20,"[45.19941329956055, 19.525875091552734, 22.04650115966797, 25.729055404663086, 45.0903434753418, 65.26335144042969, 48.71915054321289, 60.08810043334961, 25.631994247436523, 45.95829391479492]"
graph_sage,5,"[98.92457580566406, 97.75527954101562, 91.51863098144531, 86.09886932373047, 99.97390747070312, 101.77728271484375, 105.47596740722656, 96.18313598632812, 109.240478515625, 99.3021011352539]"
graph_sage,10,"[105.31793212890625, 92.19963073730469, 100.77813720703125, 98.81218719482422, 86.60095977783203, 87.19283294677734, 112.83831787109375, 108.38327026367188, 87.77439880371094, 104.96942901611328]"
graph_sage,20,"[82.21633911132812, 74.7817611694336, 77.36075592041016, 63.03924560546875, 83.74986267089844, 67.87049102783203, 68.68585968017578, 93.25345611572266, 61.91617202758789, 75.4981460571289]"
graph_gat,5,"[96.87631225585938, 89.17877197265625, 95.45365142822266, 90.35079956054688, 85.55945587158203, 102.08033752441406, 101.69955444335938, 80.38211059570312, 86.3066177368164, 93.36213684082031]"
graph_gat,10,"[91.05433654785156, 109.9493637084961, 85.03240203857422, 103.6094741821289, 99.68418884277344, 95.94342803955078, 92.7333755493164, 87.95243835449219, 88.382568359375, 104.3529281616211]"
graph_gat,20,"[51.5224494934082, 42.3511962890625, 58.445560455322266, 42.885135650634766, 34.309906005859375, 70.01911163330078, 43.36662673950195, 52.50143051147461, 50.160240173339844, 38.05379104614258]"
graph_gat_v2,5,"[17.248178482055664, 22.02706527709961, 25.70903778076172, 6.168736457824707, 8.591285705566406, 11.123979568481445, 15.873167037963867, 21.188810348510742, 16.427600860595703, 4.194596290588379]"
graph_gat_v2,10,"[8.995257377624512, 19.142898559570312, 12.781607627868652, 10.626639366149902, 20.18458366394043, 22.082847595214844, 13.937317848205566, 16.163782119750977, 15.504963874816895, -1.8271578550338745]"
graph_gat_v2,20,"[-1.513013243675232, 2.9947710037231445, -5.335813045501709, -5.075403213500977, -1.193110466003418, 0.45702967047691345, 7.3253865242004395, 3.8815066814422607, 4.797263145446777, 0.01851603202521801]"
set_transformer_inv,5,"[97.97618103027344, 94.45098876953125, 99.47351837158203, 88.01309967041016, 95.27689361572266, 84.64323425292969, 90.03876495361328, 103.46582794189453, 96.95117950439453, 109.23968505859375]"
set_transformer_inv,10,"[110.08429718017578, 117.97074127197266, 124.0950927734375, 125.23693084716797, 115.18475341796875, 120.65184783935547, 122.5484619140625, 116.6672134399414, 119.30166625976562, 126.67666625976562]"
set_transformer_inv,20,"[71.56297302246094, 58.84638214111328, 79.06732177734375, 83.7786865234375, 75.87871551513672, 71.59188842773438, 93.17743682861328, 107.4113540649414, 84.00262451171875, 70.84659576416016]"
transformer_global,5,"[79.51426696777344, 92.60990905761719, 83.81370544433594, 81.63057708740234, 87.49932861328125, 80.90113067626953, 77.43951416015625, 98.63516998291016, 84.14391326904297, 80.9499740600586]"
transformer_global,10,"[118.8635025024414, 111.16315460205078, 133.85934448242188, 124.2728271484375, 116.2857894897461, 115.48208618164062, 120.87955474853516, 115.464599609375, 117.95574951171875, 112.81700897216797]"
transformer_global,20,"[80.05852508544922, 65.22453308105469, 83.86287689208984, 74.3127212524414, 108.29745483398438, 99.49323272705078, 80.22232055664062, 79.06617736816406, 98.28430938720703, 75.47876739501953]"
