strategy,agents,rewards
concat,5,"[99.32992553710938, 93.33001708984375, 95.11363220214844, 88.15045166015625, 89.79086303710938, 90.58145904541016, 97.27354431152344, 87.36106872558594, 96.90225219726562, 80.04490661621094]"
concat,10,"[106.73065185546875, 98.942626953125, 109.2062759399414, 108.36512756347656, 101.962890625, 95.82579803466797, 95.1991195678711, 111.04773712158203, 102.59917449951172, 92.474609375]"
concat,20,"[72.6485595703125, 73.6044921875, 61.32304000854492, 47.21416473388672, 69.2688980102539, 37.62068176269531, 66.07779693603516, 57.19963455200195, 72.20560455322266, 71.78303527832031]"
mlp,5,"[80.18074035644531, 91.9784164428711, 89.92369079589844, 75.27849578857422, 77.98686218261719, 84.97687530517578, 83.69892883300781, 80.07917022705078, 83.46276092529297, 83.43278503417969]"
mlp,10,"[117.04046630859375, 129.48007202148438, 122.05448913574219, 109.8092041015625, 121.80342102050781, 118.66559600830078, 128.36764526367188, 116.32206726074219, 116.76070404052734, 126.88196563720703]"
mlp,20,"[83.17102813720703, 53.6968879699707, 76.85215759277344, 75.91071319580078, 79.83509063720703, 67.48902893066406, 75.48015594482422, 83.26056671142578, 65.66609954833984, 74.2838363647461]"
mlp_local,5,"[25.153026580810547, 29.373727798461914, 29.4348201751709, 22.912029266357422, 25.070419311523438, 28.178926467895508, 23.394283294677734, 23.2674560546875, 27.66609764099121, 26.24878692626953]"
mlp_local,10,"[25.227201461791992, 29.480966567993164, 27.267406463623047, 29.673437118530273, 26.389062881469727, 25.442577362060547, 29.981218338012695, 29.144006729125977, 27.39777946472168, 27.69305992126465]"
mlp_local,20,"[32.014549255371094, 31.492145538330078, 26.180335998535156, 30.449033737182617, 29.697118759155273, 35.70724105834961, 29.137290954589844, 29.39126968383789, 27.002655029296875, 28.004804611206055]"
mlp_global,5,"[84.32162475585938, 83.47554779052734, 86.37225341796875, 85.68402862548828, 85.88591003417969, 84.85548400878906, 86.42375946044922, 86.4131088256836, 82.0341796875, 86.71604919433594]"
mlp_global,10,"[115.3104019165039, 128.92050170898438, 130.80978393554688, 117.58122253417969, 120.49080657958984, 119.37674713134766, 126.89032745361328, 123.08179473876953, 121.29916381835938, 121.60252380371094]"
mlp_global,20,"[122.14956665039062, 117.56211853027344, 112.1956787109375, 109.33023071289062, 109.13914489746094, 135.505615234375, 112.22212219238281, 87.09886932373047, 115.02021789550781, 98.86009216308594]"
graph_sage,5,"[79.33719635009766, 75.21326446533203, 65.00792694091797, 55.2751579284668, 96.88288116455078, 78.10057067871094, 85.48297882080078, 75.17936706542969, 69.00772094726562, 76.37710571289062]"
graph_sage,10,"[99.46476745605469, 102.13914489746094, 101.49109649658203, 104.19073486328125, 86.49284362792969, 93.42875671386719, 90.30523681640625, 92.23674774169922, 91.46646881103516, 109.82247161865234]"
graph_sage,20,"[61.17230987548828, 65.36640930175781, 73.65605163574219, 65.99864959716797, 50.983821868896484, 58.87076950073242, 57.9095458984375, 97.25959777832031, 62.93941879272461, 71.54479217529297]"
graph_gat,5,"[38.31974411010742, 43.07501983642578, 43.355804443359375, 41.32261276245117, 34.805564880371094, 46.32891845703125, 43.41608810424805, 35.2315788269043, 40.08711242675781, 42.62077331542969]"
graph_gat,10,"[91.7024917602539, 92.61074829101562, 88.83160400390625, 94.44261932373047, 75.68335723876953, 87.32241821289062, 91.54875946044922, 82.7679443359375, 82.3303451538086, 77.46968078613281]"
graph_gat,20,"[44.17763900756836, 46.1234130859375, 70.41221618652344, 52.11651611328125, 40.5759391784668, 47.117740631103516, 48.5327262878418, 64.0401382446289, 52.60807418823242, 65.31678009033203]"
graph_gat_v2,5,"[88.55452728271484, 85.8916015625, 72.48641967773438, 74.95571899414062, 81.6900405883789, 77.86328125, 84.86201477050781, 95.40766906738281, 85.67543029785156, 94.4667739868164]"
graph_gat_v2,10,"[89.74453735351562, 108.13768005371094, 90.98603820800781, 114.81953430175781, 91.0386962890625, 84.82672882080078, 97.2681655883789, 98.69253540039062, 94.49101257324219, 104.63286590576172]"
graph_gat_v2,20,"[38.290122985839844, 39.76829528808594, 37.50139617919922, 57.62500762939453, 51.04852294921875, 48.19649124145508, 44.09173583984375, 50.674560546875, 39.820709228515625, 38.54111099243164]"
set_transformer_inv,5,"[77.41800689697266, 86.42957305908203, 72.0357666015625, 72.32759857177734, 80.71589660644531, 68.13507843017578, 73.01742553710938, 74.47757720947266, 78.57992553710938, 75.05844116210938]"
set_transformer_inv,10,"[108.82380676269531, 108.64934539794922, 123.15812683105469, 108.13581085205078, 115.4255599975586, 103.82247161865234, 111.09375, 109.5425033569336, 116.63655853271484, 121.86453247070312]"
set_transformer_inv,20,"[71.98432159423828, 89.26604461669922, 75.50419616699219, 99.73011016845703, 78.39196014404297, 88.03069305419922, 99.26664733886719, 75.98727416992188, 98.36923217773438, 88.50360107421875]"
transformer_global,5,"[82.2027816772461, 79.66222381591797, 75.6032943725586, 68.75481414794922, 86.99610900878906, 79.59992218017578, 90.68385314941406, 87.45256805419922, 83.7454605102539, 95.77806091308594]"
transformer_global,10,"[130.81967163085938, 130.46621704101562, 129.56820678710938, 142.64300537109375, 127.93873596191406, 133.09384155273438, 127.34962463378906, 135.99362182617188, 140.06143188476562, 123.70124816894531]"
transformer_global,20,"[101.16464233398438, 89.29357147216797, 103.00666046142578, 76.3270034790039, 119.38209533691406, 102.55879974365234, 97.36137390136719, 114.4388427734375, 105.91907501220703, 83.69573974609375]"
